detector,seed,phase_definition,nominal_fpr,overall_fpr,climb_fpr,cruise_fpr,descent_fpr,max_min_phase_fpr_ratio,worst_offdiagonal_transfer_fpr,score_only_phase_balanced_accuracy,climb_flights_with_alarm,cruise_flights_with_alarm,descent_flights_with_alarm,events_per_flight
isolation_forest,0,alt_rate,0.005,0.004957135897560221,0.0012901387492777598,0.0017757483510908167,0.011429337983768193,8.85899907290322,0.2150043597826816,0.5043565364013146,0.39473684210526316,0.2631578947368421,0.6973684210526315,7.868421052631579
isolation_forest,0,alt_rate,0.01,0.010833200573522384,0.002762321616551768,0.0037861491628614916,0.02512576296196928,9.095886160183625,0.3132000804882957,0.5043565364013146,0.6973684210526315,0.3026315789473684,0.9473684210526315,13.092105263157896
isolation_forest,0,alt_rate,0.02,0.03032234082098667,0.006672312672645101,0.006259512937595129,0.07581326715406801,12.111687907652932,0.4459454021061104,0.5043565364013146,0.881578947368421,0.39473684210526316,1.0,25.63157894736842
isolation_forest,0,primary,0.005,0.004957135897560221,0.0013338215294486872,0.0026646979432223233,0.010563550235473394,7.9197628785011895,0.1312583174167569,0.4842923261373098,0.39473684210526316,0.34210526315789475,0.618421052631579,7.868421052631579
isolation_forest,0,primary,0.01,0.010833200573522384,0.0028507166021550373,0.005663925065463899,0.023326690892040793,8.182746357321758,0.3000958442221104,0.4842923261373098,0.6842105263157895,0.4473684210526316,0.868421052631579,13.092105263157896
isolation_forest,0,primary,0.02,0.03032234082098667,0.006442445165114901,0.01011662379309947,0.07336564915498493,11.38785775814616,0.4003875140491081,0.4842923261373098,0.881578947368421,0.5789473684210527,1.0,25.63157894736842
isolation_forest,1,alt_rate,0.005,0.005291921507782034,0.0011001796696295007,0.0020928462709284626,0.012227513582399893,11.114106104612587,0.17056140586223087,0.5022298726918714,0.27631578947368424,0.27631578947368424,0.7368421052631579,8.171052631578947
isolation_forest,1,alt_rate,0.01,0.01183524853791043,0.0025011278820354114,0.003900304414003044,0.028137366691260313,11.24987126542374,0.2678583405996378,0.5022298726918714,0.618421052631579,0.2894736842105263,0.9342105263157895,12.052631578947368
isolation_forest,1,alt_rate,0.02,0.028558366985059327,0.0059995409322241835,0.0061897513952308475,0.0713327520289758,11.889701701315156,0.38331209336642297,0.5022298726918714,0.8552631578947368,0.3815789473684211,1.0,22.56578947368421
isolation_forest,1,primary,0.005,0.005291921507782034,0.0011333124106426753,0.0029184786997196875,0.011418563439911189,10.075389038964097,0.12194970591682928,0.48728074730291243,0.2631578947368421,0.3684210526315789,0.6578947368421053,8.171052631578947
isolation_forest,1,primary,0.01,0.01183524853791043,0.002563029605607281,0.005323628141978798,0.026953601743123695,10.516305267857936,0.25465602956690825,0.48728074730291243,0.6052631578947368,0.4473684210526316,0.8552631578947368,12.052631578947368
isolation_forest,1,primary,0.02,0.028558366985059327,0.005901942323116086,0.009476404157390211,0.06929054589834996,11.74029533073549,0.3436187744351052,0.48728074730291243,0.8552631578947368,0.5131578947368421,1.0,22.56578947368421
isolation_forest,2,alt_rate,0.005,0.005031019618436759,0.0013059686725817813,0.001839167935058346,0.011563485143202093,8.854335778470194,0.20590247501509157,0.5037107505821096,0.35526315789473684,0.27631578947368424,0.7105263157894737,7.947368421052632
isolation_forest,2,alt_rate,0.01,0.011269576299949435,0.002556532613599487,0.0039320142059868085,0.026413575692534712,10.331796884587966,0.28569991280434637,0.5037107505821096,0.6578947368421053,0.3026315789473684,0.9342105263157895,13.56578947368421
isolation_forest,2,alt_rate,0.02,0.029128656955575104,0.005714602312751795,0.00634830035514967,0.07306325038567309,12.785360448029216,0.4068951639949024,0.5037107505821096,0.8421052631578947,0.3815789473684211,1.0,24.92105263157895
isolation_forest,2,primary,0.005,0.005031019618436759,0.0013425393172228615,0.002682001176619871,0.01075661773324967,8.012143551594827,0.13302350596785426,0.4603238050808889,0.35526315789473684,0.35526315789473684,0.618421052631579,7.947368421052632
isolation_forest,2,primary,0.01,0.011269576299949435,0.002624054120026502,0.005750441232451637,0.024705744447585623,9.415104764430737,0.2631027325946203,0.4603238050808889,0.6578947368421053,0.4605263157894737,0.8552631578947368,13.56578947368421
isolation_forest,2,primary,0.02,0.029128656955575104,0.005701433204310075,0.00970134619155833,0.07088335275500424,12.432549889634595,0.3654009253449358,0.4603238050808889,0.8421052631578947,0.5526315789473685,1.0,24.92105263157895
lstm_autoencoder,0,alt_rate,0.005,0.005619780519171671,0.0038070965546171927,0.0018962455606291223,0.011093970085183447,5.8504923178318595,0.2887785901133543,0.49704881797325023,0.8026315789473685,0.2631578947368421,0.7894736842105263,9.197368421052632
lstm_autoencoder,0,alt_rate,0.01,0.01277957484536368,0.005247619575283158,0.003526128868594622,0.028948957005835402,8.209840900503824,0.37089006640284394,0.49704881797325023,0.8289473684210527,0.2894736842105263,0.8947368421052632,11.710526315789474
lstm_autoencoder,0,alt_rate,0.02,0.026895983265337223,0.007376744259674062,0.005339928970065956,0.06623515997048762,12.40375299779868,0.4625394057280837,0.49704881797325023,0.9210526315789473,0.35526315789473684,1.0,17.842105263157894
lstm_autoencoder,0,primary,0.005,0.005619780519171671,0.004149666980507027,0.0026531624542906252,0.010329111131030773,3.8931318036431595,0.09845752859812311,0.4787605641543123,0.8026315789473685,0.3684210526315789,0.7105263157894737,9.197368421052632
lstm_autoencoder,0,primary,0.01,0.01277957484536368,0.0056927154165359,0.004562285872486705,0.02820854047866949,6.182983983705131,0.24049314955146284,0.4787605641543123,0.8289473684210527,0.40789473684210525,0.8289473684210527,11.710526315789474
lstm_autoencoder,0,primary,0.02,0.026895983265337223,0.007889597935627855,0.007134699904255442,0.06555331076282347,9.187956276020055,0.3499624207906114,0.4787605641543123,0.9210526315789473,0.47368421052631576,1.0,17.842105263157894
lstm_autoencoder,1,alt_rate,0.005,0.005340407699607262,0.003791266631313171,0.0018074581430745813,0.010389697498155477,5.7482368474005465,0.26125830035548997,0.49790768989809014,0.8026315789473685,0.2631578947368421,0.6052631578947368,8.947368421052632
