detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight,matched_fc
pca,-1,alt_rate,0.01,15,2,overall,23,1.0,19.217391304347824,False
pca,-1,alt_rate,0.01,all,mixed,climb,76,0.17105263157894737,0.5,False
pca,-1,alt_rate,0.01,all,mixed,cruise,76,0.39473684210526316,3.1710526315789473,False
pca,-1,alt_rate,0.01,all,mixed,descent,76,0.9868421052631579,17.11842105263158,False
pca,-1,alt_rate,0.01,all,mixed,overall,76,0.9868421052631579,20.776315789473685,False
pca,-1,alt_rate,0.02,11,3,climb,18,0.2222222222222222,1.2777777777777777,True
pca,-1,alt_rate,0.02,11,3,cruise,18,0.7222222222222222,7.555555555555555,True
pca,-1,alt_rate,0.02,11,3,descent,18,1.0,53.55555555555556,True
pca,-1,alt_rate,0.02,11,3,overall,18,1.0,62.388888888888886,True
pca,-1,alt_rate,0.02,14,1,climb,35,0.34285714285714286,1.3142857142857143,False
pca,-1,alt_rate,0.02,14,1,cruise,35,0.5714285714285714,6.6,False
pca,-1,alt_rate,0.02,14,1,descent,35,0.9714285714285714,11.428571428571429,False
pca,-1,alt_rate,0.02,14,1,overall,35,0.9714285714285714,19.34285714285714,False
pca,-1,alt_rate,0.02,15,2,climb,23,0.21739130434782608,1.0,False
pca,-1,alt_rate,0.02,15,2,cruise,23,0.21739130434782608,2.0,False
pca,-1,alt_rate,0.02,15,2,descent,23,1.0,23.08695652173913,False
pca,-1,alt_rate,0.02,15,2,overall,23,1.0,26.043478260869566,False
pca,-1,alt_rate,0.02,all,mixed,climb,76,0.27631578947368424,1.2105263157894737,False
pca,-1,alt_rate,0.02,all,mixed,cruise,76,0.5,5.434210526315789,False
pca,-1,alt_rate,0.02,all,mixed,descent,76,0.9868421052631579,24.93421052631579,False
pca,-1,alt_rate,0.02,all,mixed,overall,76,0.9868421052631579,31.56578947368421,False
isolation_forest,0,primary,0.005,11,3,climb,18,0.5,0.5555555555555556,True
isolation_forest,0,primary,0.005,11,3,cruise,18,0.7222222222222222,3.388888888888889,True
isolation_forest,0,primary,0.005,11,3,descent,18,1.0,14.944444444444445,True
isolation_forest,0,primary,0.005,11,3,overall,18,1.0,18.88888888888889,True
isolation_forest,0,primary,0.005,14,1,climb,35,0.42857142857142855,0.45714285714285713,False
isolation_forest,0,primary,0.005,14,1,cruise,35,0.22857142857142856,1.2857142857142858,False
isolation_forest,0,primary,0.005,14,1,descent,35,0.5142857142857142,0.9142857142857143,False
isolation_forest,0,primary,0.005,14,1,overall,35,0.9428571428571428,2.657142857142857,False
isolation_forest,0,primary,0.005,15,2,climb,23,0.2608695652173913,0.391304347826087,False
isolation_forest,0,primary,0.005,15,2,cruise,23,0.21739130434782608,1.9565217391304348,False
isolation_forest,0,primary,0.005,15,2,descent,23,0.4782608695652174,4.826086956521739,False
isolation_forest,0,primary,0.005,15,2,overall,23,0.6086956521739131,7.173913043478261,False
isolation_forest,0,primary,0.005,all,mixed,climb,76,0.39473684210526316,0.4605263157894737,False
isolation_forest,0,primary,0.005,all,mixed,cruise,76,0.34210526315789475,1.986842105263158,False
isolation_forest,0,primary,0.005,all,mixed,descent,76,0.618421052631579,5.421052631578948,False
isolation_forest,0,primary,0.005,all,mixed,overall,76,0.8552631578947368,7.868421052631579,False
isolation_forest,0,primary,0.01,11,3,climb,18,0.7777777777777778,0.9444444444444444,True
isolation_forest,0,primary,0.01,11,3,cruise,18,0.7222222222222222,4.666666666666667,True
isolation_forest,0,primary,0.01,11,3,descent,18,1.0,16.944444444444443,True
isolation_forest,0,primary,0.01,11,3,overall,18,1.0,22.555555555555557,True
isolation_forest,0,primary,0.01,14,1,climb,35,0.6285714285714286,1.0571428571428572,False
isolation_forest,0,primary,0.01,14,1,cruise,35,0.4,2.6,False
isolation_forest,0,primary,0.01,14,1,descent,35,0.7428571428571429,5.0,False
isolation_forest,0,primary,0.01,14,1,overall,35,1.0,8.571428571428571,False
isolation_forest,0,primary,0.01,15,2,climb,23,0.6956521739130435,1.0434782608695652,False
isolation_forest,0,primary,0.01,15,2,cruise,23,0.30434782608695654,2.4782608695652173,False
isolation_forest,0,primary,0.01,15,2,descent,23,0.9565217391304348,9.043478260869565,False
isolation_forest,0,primary,0.01,15,2,overall,23,1.0,12.565217391304348,False
isolation_forest,0,primary,0.01,all,mixed,climb,76,0.6842105263157895,1.0263157894736843,False
isolation_forest,0,primary,0.01,all,mixed,cruise,76,0.4473684210526316,3.0526315789473686,False
isolation_forest,0,primary,0.01,all,mixed,descent,76,0.868421052631579,9.052631578947368,False
isolation_forest,0,primary,0.01,all,mixed,overall,76,1.0,13.092105263157896,False
