detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events,matched_fc
pca,-1,primary,0.005,14,6,1,cruise,1468,0,0,0,False
pca,-1,primary,0.005,14,6,1,descent,1228,5,1,4,False
pca,-1,primary,0.005,14,7,1,overall,1303,6,1,4,False
pca,-1,primary,0.005,14,7,1,climb,87,0,0,0,False
pca,-1,primary,0.005,14,7,1,cruise,1069,5,1,3,False
pca,-1,primary,0.005,14,7,1,descent,147,1,1,1,False
pca,-1,primary,0.005,14,8,1,overall,2551,5,1,4,False
pca,-1,primary,0.005,14,8,1,climb,79,0,0,0,False
pca,-1,primary,0.005,14,8,1,cruise,2364,3,1,2,False
pca,-1,primary,0.005,14,8,1,descent,108,2,1,2,False
pca,-1,primary,0.005,14,9,1,overall,1706,31,1,6,False
pca,-1,primary,0.005,14,9,1,climb,38,0,0,0,False
pca,-1,primary,0.005,14,9,1,cruise,47,0,0,0,False
pca,-1,primary,0.005,14,9,1,descent,1621,31,1,6,False
pca,-1,primary,0.005,14,10,1,overall,1706,31,1,6,False
pca,-1,primary,0.005,14,10,1,climb,38,0,0,0,False
pca,-1,primary,0.005,14,10,1,cruise,47,0,0,0,False
pca,-1,primary,0.005,14,10,1,descent,1621,31,1,6,False
pca,-1,primary,0.005,14,11,1,overall,2346,0,0,0,False
pca,-1,primary,0.005,14,11,1,climb,482,0,0,0,False
pca,-1,primary,0.005,14,11,1,cruise,1040,0,0,0,False
pca,-1,primary,0.005,14,11,1,descent,824,0,0,0,False
pca,-1,primary,0.005,14,12,1,overall,2641,14,1,11,False
pca,-1,primary,0.005,14,12,1,climb,1059,0,0,0,False
pca,-1,primary,0.005,14,12,1,cruise,390,0,0,0,False
pca,-1,primary,0.005,14,12,1,descent,1192,14,1,11,False
pca,-1,primary,0.005,14,13,1,overall,1303,6,1,4,False
pca,-1,primary,0.005,14,13,1,climb,87,0,0,0,False
pca,-1,primary,0.005,14,13,1,cruise,1069,5,1,3,False
pca,-1,primary,0.005,14,13,1,descent,147,1,1,1,False
pca,-1,primary,0.005,14,14,1,overall,2629,2,1,2,False
pca,-1,primary,0.005,14,14,1,climb,490,0,0,0,False
pca,-1,primary,0.005,14,14,1,cruise,1339,0,0,0,False
pca,-1,primary,0.005,14,14,1,descent,800,2,1,2,False
pca,-1,primary,0.005,14,15,1,overall,1930,1,1,1,False
pca,-1,primary,0.005,14,15,1,climb,486,0,0,0,False
pca,-1,primary,0.005,14,15,1,cruise,795,0,0,0,False
pca,-1,primary,0.005,14,15,1,descent,649,1,1,1,False
pca,-1,primary,0.005,14,16,1,overall,1528,7,1,5,False
pca,-1,primary,0.005,14,16,1,climb,435,0,0,0,False
pca,-1,primary,0.005,14,16,1,cruise,592,0,0,0,False
pca,-1,primary,0.005,14,16,1,descent,501,7,1,5,False
pca,-1,primary,0.005,14,17,1,overall,2641,18,1,11,False
pca,-1,primary,0.005,14,17,1,climb,1059,0,0,0,False
pca,-1,primary,0.005,14,17,1,cruise,390,0,0,0,False
pca,-1,primary,0.005,14,17,1,descent,1192,18,1,11,False
pca,-1,primary,0.005,14,18,1,overall,2629,2,1,2,False
pca,-1,primary,0.005,14,18,1,climb,490,0,0,0,False
pca,-1,primary,0.005,14,18,1,cruise,1339,0,0,0,False
pca,-1,primary,0.005,14,18,1,descent,800,2,1,2,False
pca,-1,primary,0.005,14,19,1,overall,1706,31,1,6,False
pca,-1,primary,0.005,14,19,1,climb,38,0,0,0,False
pca,-1,primary,0.005,14,19,1,cruise,47,0,0,0,False
pca,-1,primary,0.005,14,19,1,descent,1621,31,1,6,False
pca,-1,primary,0.005,14,20,1,overall,2629,2,1,2,False
pca,-1,primary,0.005,14,20,1,climb,490,0,0,0,False
pca,-1,primary,0.005,14,20,1,cruise,1339,0,0,0,False
pca,-1,primary,0.005,14,20,1,descent,800,2,1,2,False
pca,-1,primary,0.005,14,21,1,overall,1706,32,1,6,False
pca,-1,primary,0.005,14,21,1,climb,38,0,0,0,False
pca,-1,primary,0.005,14,21,1,cruise,47,0,0,0,False
pca,-1,primary,0.005,14,21,1,descent,1621,32,1,6,False
pca,-1,primary,0.005,14,22,1,overall,1887,10,1,8,False
pca,-1,primary,0.005,14,22,1,climb,227,0,0,0,False
pca,-1,primary,0.005,14,22,1,cruise,1396,10,1,8,False
pca,-1,primary,0.005,14,22,1,descent,264,0,0,0,False
pca,-1,primary,0.005,14,23,1,overall,2629,2,1,2,False
pca,-1,primary,0.005,14,23,1,climb,490,0,0,0,False
pca,-1,primary,0.005,14,23,1,cruise,1339,0,0,0,False
pca,-1,primary,0.005,14,23,1,descent,800,2,1,2,False
pca,-1,primary,0.005,14,24,1,overall,2641,19,1,10,False
pca,-1,primary,0.005,14,24,1,climb,1059,0,0,0,False
pca,-1,primary,0.005,14,24,1,cruise,390,0,0,0,False
pca,-1,primary,0.005,14,24,1,descent,1192,19,1,10,False
pca,-1,primary,0.005,14,25,1,overall,2551,5,1,4,False
pca,-1,primary,0.005,14,25,1,climb,79,0,0,0,False
pca,-1,primary,0.005,14,25,1,cruise,2364,3,1,2,False
pca,-1,primary,0.005,14,25,1,descent,108,2,1,2,False
pca,-1,primary,0.005,14,26,1,overall,2034,26,1,14,False
pca,-1,primary,0.005,14,26,1,climb,135,17,1,9,False
pca,-1,primary,0.005,14,26,1,cruise,84,0,0,0,False
pca,-1,primary,0.005,14,26,1,descent,1815,9,1,5,False
pca,-1,primary,0.005,14,27,1,overall,1887,10,1,8,False
pca,-1,primary,0.005,14,27,1,climb,227,0,0,0,False
pca,-1,primary,0.005,14,27,1,cruise,1396,10,1,8,False
pca,-1,primary,0.005,14,27,1,descent,264,0,0,0,False
pca,-1,primary,0.005,14,28,1,overall,2629,2,1,2,False
pca,-1,primary,0.005,14,28,1,climb,490,0,0,0,False
pca,-1,primary,0.005,14,28,1,cruise,1339,0,0,0,False
pca,-1,primary,0.005,14,28,1,descent,800,2,1,2,False
pca,-1,primary,0.005,14,29,1,overall,1887,10,1,8,False
pca,-1,primary,0.005,14,29,1,climb,227,0,0,0,False
pca,-1,primary,0.005,14,29,1,cruise,1396,10,1,8,False
pca,-1,primary,0.005,14,29,1,descent,264,0,0,0,False
pca,-1,primary,0.005,14,30,1,overall,1528,10,1,4,False
pca,-1,primary,0.005,14,30,1,climb,435,0,0,0,False
pca,-1,primary,0.005,14,30,1,cruise,592,0,0,0,False
pca,-1,primary,0.005,14,30,1,descent,501,10,1,4,False
