detector,phase_definition,nominal_fpr,overall_fpr_mean,overall_fpr_min,overall_fpr_max,climb_fpr_mean,climb_fpr_min,climb_fpr_max,cruise_fpr_mean,cruise_fpr_min,cruise_fpr_max,descent_fpr_mean,descent_fpr_min,descent_fpr_max,max_min_phase_fpr_ratio_mean,max_min_phase_fpr_ratio_min,max_min_phase_fpr_ratio_max,worst_offdiagonal_transfer_fpr_mean,worst_offdiagonal_transfer_fpr_min,worst_offdiagonal_transfer_fpr_max,score_only_phase_balanced_accuracy_mean,score_only_phase_balanced_accuracy_min,score_only_phase_balanced_accuracy_max,climb_flights_with_alarm_mean,climb_flights_with_alarm_min,climb_flights_with_alarm_max,cruise_flights_with_alarm_mean,cruise_flights_with_alarm_min,cruise_flights_with_alarm_max,descent_flights_with_alarm_mean,descent_flights_with_alarm_min,descent_flights_with_alarm_max,events_per_flight_mean,events_per_flight_min,events_per_flight_max
isolation_forest,alt_rate,0.005,0.005093359007926338,0.004957135897560221,0.005291921507782034,0.0012320956971630138,0.0011001796696295007,0.0013059686725817813,0.001902587519025875,0.0017757483510908167,0.0020928462709284626,0.011740112236456726,0.011429337983768193,0.012227513582399893,9.609146985328666,8.854335778470194,11.114106104612587,0.19715608022000133,0.17056140586223087,0.2150043597826816,0.5034323865584319,0.5022298726918714,0.5043565364013146,0.34210526315789475,0.27631578947368424,0.39473684210526316,0.2719298245614035,0.2631578947368421,0.27631578947368424,0.7149122807017543,0.6973684210526315,0.7368421052631579,7.995614035087719,7.868421052631579,8.171052631578947
isolation_forest,alt_rate,0.01,0.011312675137127415,0.010833200573522384,0.01183524853791043,0.002606660704062222,0.0025011278820354114,0.002762321616551768,0.003872822594283781,0.0037861491628614916,0.0039320142059868085,0.026558901781921437,0.02512576296196928,0.028137366691260313,10.225851436731778,9.095886160183625,11.24987126542374,0.28891944463075997,0.2678583405996378,0.3132000804882957,0.5034323865584319,0.5022298726918714,0.5043565364013146,0.6578947368421053,0.618421052631579,0.6973684210526315,0.2982456140350877,0.2894736842105263,0.3026315789473684,0.9385964912280702,0.9342105263157895,0.9473684210526315,12.903508771929824,12.052631578947368,13.56578947368421
isolation_forest,alt_rate,0.02,0.029336454920540368,0.028558366985059327,0.03032234082098667,0.006128818639207026,0.005714602312751795,0.006672312672645101,0.006265854895991883,0.0061897513952308475,0.00634830035514967,0.07340308985623896,0.0713327520289758,0.07581326715406801,12.262250018999103,11.889701701315156,12.785360448029216,0.41205088648914523,0.38331209336642297,0.4459454021061104,0.5034323865584319,0.5022298726918714,0.5043565364013146,0.8596491228070176,0.8421052631578947,0.881578947368421,0.3859649122807018,0.3815789473684211,0.39473684210526316,1.0,1.0,1.0,24.37280701754386,22.56578947368421,25.63157894736842
isolation_forest,primary,0.005,0.005093359007926338,0.004957135897560221,0.005291921507782034,0.001269891085771408,0.0011333124106426753,0.0013425393172228615,0.002755059273187294,0.0026646979432223233,0.0029184786997196875,0.01091291046954475,0.010563550235473394,0.011418563439911189,8.669098489686704,7.9197628785011895,10.075389038964097,0.12874384310048015,0.12194970591682928,0.13302350596785426,0.477298959507037,0.4603238050808889,0.48728074730291243,0.33771929824561403,0.2631578947368421,0.39473684210526316,0.3552631578947369,0.34210526315789475,0.3684210526315789,0.6315789473684211,0.618421052631579,0.6578947368421053,7.995614035087719,7.868421052631579,8.171052631578947
isolation_forest,primary,0.01,0.011312675137127415,0.010833200573522384,0.01183524853791043,0.0026792667759296066,0.002563029605607281,0.0028507166021550373,0.005579331479964779,0.005323628141978798,0.005750441232451637,0.024995345694250038,0.023326690892040793,0.026953601743123695,9.371385463203476,8.182746357321758,10.516305267857936,0.2726182021278796,0.25465602956690825,0.3000958442221104,0.477298959507037,0.4603238050808889,0.48728074730291243,0.6491228070175439,0.6052631578947368,0.6842105263157895,0.45175438596491224,0.4473684210526316,0.4605263157894737,0.8596491228070176,0.8552631578947368,0.868421052631579,12.903508771929824,12.052631578947368,13.56578947368421
isolation_forest,primary,0.02,0.029336454920540368,0.028558366985059327,0.03032234082098667,0.006015273564180354,0.005701433204310075,0.006442445165114901,0.00976479138068267,0.009476404157390211,0.01011662379309947,0.07117984926944637,0.06929054589834996,0.07336564915498493,11.853567659505416,11.38785775814616,12.432549889634595,0.36980240460971636,0.3436187744351052,0.4003875140491081,0.477298959507037,0.4603238050808889,0.48728074730291243,0.8596491228070176,0.8421052631578947,0.881578947368421,0.5482456140350878,0.5131578947368421,0.5789473684210527,1.0,1.0,1.0,24.37280701754386,22.56578947368421,25.63157894736842
lstm_autoencoder,alt_rate,0.005,0.005433531972795398,0.005340407699607262,0.005619780519171671,0.0038176498368198736,0.003791266631313171,0.0038545863245292578,0.001841281921190597,0.0018074581430745813,0.0018962455606291223,0.01060209716725915,0.010322623918438528,0.011093970085183447,5.756685958050043,5.6713287089177244,5.8504923178318595,0.26314306794553627,0.23939231336776443,0.2887785901133543,0.49455352376352274,0.4887040634192279,0.49790768989809014,0.8026315789473685,0.8026315789473685,0.8026315789473685,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.706140350877193,0.6052631578947368,0.7894736842105263,9.021929824561404,8.921052631578947,9.197368421052632
lstm_autoencoder,alt_rate,0.01,0.01222621656088211,0.011687481096157354,0.01277957484536368,0.005395365526120692,0.005247619575283158,0.005635452696231687,0.0034859631320818536,0.0032787924911212582,0.0036529680365296802,0.027258702796968275,0.025991012140317928,0.028948957005835402,7.827747119265912,7.346393118250721,8.209840900503824,0.3477809824043643,0.3240190488966396,0.37089006640284394,0.49455352376352274,0.4887040634192279,0.49790768989809014,0.8333333333333334,0.8289473684210527,0.8421052631578947,0.3026315789473684,0.2894736842105263,0.32894736842105265,0.9166666666666666,0.8947368421052632,0.9342105263157895,11.899122807017543,11.710526315789474,12.18421052631579
lstm_autoencoder,alt_rate,0.02,0.027516298671863157,0.026895983265337223,0.028246670037611433,0.007622108070886396,0.007376744259674062,0.008112835693311065,0.005301877219685439,0.005067224759005581,0.005498477929984779,0.06786951952959062,0.06623515997048762,0.06936749614326916,12.813418537391508,12.40375299779868,13.420739301952915,0.4470811813893174,0.4387014554966799,0.4625394057280837,0.49455352376352274,0.4887040634192279,0.49790768989809014,0.9166666666666666,0.9078947368421053,0.9210526315789473,0.3640350877192982,0.35526315789473684,0.3684210526315789,1.0,1.0,1.0,19.057017543859647,17.842105263157894,19.86842105263158
lstm_autoencoder,primary,0.005,0.005433531972795398,0.005340407699607262,0.005619780519171671,0.004158384768281201,0.004123513617184504,0.004201973707152073,0.002578181776234586,0.002526272076041943,0.0026531624542906252,0.009855636076960382,0.009570631675481117,0.010329111131030773,3.821821999419226,3.745681667339876,3.8931318036431595,0.09728073623072486,0.08946609941597082,0.10391858067808063,0.4837649849316222,0.47520237068597804,0.49733201995457615,0.8026315789473685,0.8026315789473685,0.8026315789473685,0.3640350877192982,0.34210526315789475,0.3815789473684211,0.6315789473684211,0.5263157894736842,0.7105263157894737,9.021929824561404,8.921052631578947,9.197368421052632
