detector,seed,phase_definition,nominal_fpr,phase,bootstrap_unit,repetitions,estimate,ci_lower_95,ci_upper_95
isolation_forest,1,primary,0.005,descent,flight,500,0.011418563439911189,0.00746626971466673,0.016408600009661593
isolation_forest,1,primary,0.005,overall,flight,500,0.005291921507782034,0.003920799526636214,0.006979083366686012
isolation_forest,1,primary,0.01,climb,flight,500,0.002563029605607281,0.001728010073934378,0.003930059156623236
isolation_forest,1,primary,0.01,cruise,flight,500,0.005323628141978798,0.0033575432406453987,0.008277306561783871
isolation_forest,1,primary,0.01,descent,flight,500,0.026953601743123695,0.019086679901859464,0.03513052202029747
isolation_forest,1,primary,0.01,overall,flight,500,0.01183524853791043,0.008951275855533297,0.015452439578799194
isolation_forest,1,primary,0.02,climb,flight,500,0.005901942323116086,0.004340133231924891,0.008097539668713941
isolation_forest,1,primary,0.02,cruise,flight,500,0.009476404157390211,0.006177908752153906,0.013923618793654778
isolation_forest,1,primary,0.02,descent,flight,500,0.06929054589834996,0.054031931743491544,0.08811480692201684
isolation_forest,1,primary,0.02,overall,flight,500,0.028558366985059327,0.023373199545582295,0.03600081513776928
isolation_forest,2,alt_rate,0.005,climb,flight,500,0.0013059686725817813,0.0006026508242382349,0.0021843443341838862
isolation_forest,2,alt_rate,0.005,cruise,flight,500,0.001839167935058346,0.001072675414038828,0.0028705146695200256
isolation_forest,2,alt_rate,0.005,descent,flight,500,0.011563485143202093,0.0074920124815165915,0.01601636918749964
isolation_forest,2,alt_rate,0.005,overall,flight,500,0.005031019618436759,0.003635024973092597,0.006829688156477802
isolation_forest,2,alt_rate,0.01,climb,flight,500,0.002556532613599487,0.001649661598478658,0.0037426992750283867
isolation_forest,2,alt_rate,0.01,cruise,flight,500,0.0039320142059868085,0.001986567128922616,0.006488532116812414
isolation_forest,2,alt_rate,0.01,descent,flight,500,0.026413575692534712,0.020015009042773303,0.032721998544050834
isolation_forest,2,alt_rate,0.01,overall,flight,500,0.011269576299949435,0.0089902228826977,0.0142797838060139
isolation_forest,2,alt_rate,0.02,climb,flight,500,0.005714602312751795,0.004078697866595035,0.007813274523536319
isolation_forest,2,alt_rate,0.02,cruise,flight,500,0.00634830035514967,0.0032826706653276807,0.010465760256320455
isolation_forest,2,alt_rate,0.02,descent,flight,500,0.07306325038567309,0.059717898596169786,0.08903740246191989
isolation_forest,2,alt_rate,0.02,overall,flight,500,0.029128656955575104,0.023285853317692878,0.03579831772857396
isolation_forest,2,primary,0.005,climb,flight,500,0.0013425393172228615,0.0006962879153019436,0.0023397026121995813
isolation_forest,2,primary,0.005,cruise,flight,500,0.002682001176619871,0.0016966994698350136,0.0039091544354695525
isolation_forest,2,primary,0.005,descent,flight,500,0.01075661773324967,0.006748154465001627,0.016032653725823045
isolation_forest,2,primary,0.005,overall,flight,500,0.005031019618436759,0.003726001867145604,0.006645369616736656
isolation_forest,2,primary,0.01,climb,flight,500,0.002624054120026502,0.0016790448655441242,0.00394492831660686
