detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
pca,-1,primary,0.01,14,1,descent,climb,12241,17,0.0013887754268442122,0.8242883951396902,False
pca,-1,primary,0.01,14,1,descent,cruise,33377,61,0.0018276058363543757,0.8242883951396902,False
pca,-1,primary,0.01,14,1,descent,descent,26650,249,0.009343339587242027,0.8242883951396902,False
pca,-1,primary,0.01,15,2,descent,climb,48789,24,0.0004919141609789092,0.8242883951396902,False
pca,-1,primary,0.01,15,2,descent,cruise,53466,144,0.002693300415217147,0.8242883951396902,False
pca,-1,primary,0.01,15,2,descent,descent,45284,501,0.01106351029061037,0.8242883951396902,False
pca,-1,primary,0.01,all,mixed,descent,climb,114708,47,0.000409736025386198,0.8242883951396902,False
pca,-1,primary,0.01,all,mixed,descent,cruise,173378,413,0.0023820784643957134,0.8242883951396902,False
pca,-1,primary,0.01,all,mixed,descent,descent,145027,1568,0.010811779875471463,0.8242883951396902,False
pca,-1,primary,0.02,11,3,climb,climb,53678,948,0.017660866649279034,0.0858782969677629,True
pca,-1,primary,0.02,11,3,climb,cruise,86535,4376,0.05056913387646617,0.0858782969677629,True
pca,-1,primary,0.02,11,3,climb,descent,73093,15431,0.211114607417947,0.0858782969677629,True
pca,-1,primary,0.02,14,1,climb,climb,12241,1247,0.10187076219263132,0.0858782969677629,False
pca,-1,primary,0.02,14,1,climb,cruise,33377,5099,0.15276987146837642,0.0858782969677629,False
pca,-1,primary,0.02,14,1,climb,descent,26650,7130,0.26754221388367727,0.0858782969677629,False
pca,-1,primary,0.02,15,2,climb,climb,48789,1351,0.027690667978437764,0.0858782969677629,False
pca,-1,primary,0.02,15,2,climb,cruise,53466,1834,0.03430217334380728,0.0858782969677629,False
pca,-1,primary,0.02,15,2,climb,descent,45284,12296,0.27153078349969084,0.0858782969677629,False
pca,-1,primary,0.02,all,mixed,climb,climb,114708,3546,0.030913275447222513,0.0858782969677629,False
pca,-1,primary,0.02,all,mixed,climb,cruise,173378,11309,0.06522742216428844,0.0858782969677629,False
pca,-1,primary,0.02,all,mixed,climb,descent,145027,34857,0.24034834892813062,0.0858782969677629,False
pca,-1,primary,0.02,11,3,cruise,climb,53678,282,0.0052535489399754085,0.13164186124072194,True
pca,-1,primary,0.02,11,3,cruise,cruise,86535,2055,0.02374761657132952,0.13164186124072194,True
pca,-1,primary,0.02,11,3,cruise,descent,73093,8997,0.1230897623575445,0.13164186124072194,True
pca,-1,primary,0.02,14,1,cruise,climb,12241,614,0.050159300710726246,0.13164186124072194,False
pca,-1,primary,0.02,14,1,cruise,cruise,33377,2018,0.06046079635677263,0.13164186124072194,False
pca,-1,primary,0.02,14,1,cruise,descent,26650,4102,0.15392120075046906,0.13164186124072194,False
pca,-1,primary,0.02,15,2,cruise,climb,48789,513,0.010514665190924184,0.13164186124072194,False
pca,-1,primary,0.02,15,2,cruise,cruise,53466,931,0.017412935323383085,0.13164186124072194,False
pca,-1,primary,0.02,15,2,cruise,descent,45284,7456,0.16464976592173836,0.13164186124072194,False
pca,-1,primary,0.02,all,mixed,cruise,climb,114708,1409,0.012283362973811765,0.13164186124072194,False
pca,-1,primary,0.02,all,mixed,cruise,cruise,173378,5004,0.02886179330710932,0.13164186124072194,False
pca,-1,primary,0.02,all,mixed,cruise,descent,145027,20555,0.14173222917111986,0.13164186124072194,False
pca,-1,primary,0.02,11,3,descent,climb,53678,44,0.0008197026714855248,0.5557019979739716,True
pca,-1,primary,0.02,11,3,descent,cruise,86535,312,0.003605477552435431,0.5557019979739716,True
pca,-1,primary,0.02,11,3,descent,descent,73093,1781,0.02436621837932497,0.5557019979739716,True
pca,-1,primary,0.02,14,1,descent,climb,12241,32,0.0026141655093538108,0.5557019979739716,False
pca,-1,primary,0.02,14,1,descent,cruise,33377,133,0.003984779938280852,0.5557019979739716,False
pca,-1,primary,0.02,14,1,descent,descent,26650,883,0.033133208255159474,0.5557019979739716,False
pca,-1,primary,0.02,15,2,descent,climb,48789,52,0.0010658140154543032,0.5557019979739716,False
pca,-1,primary,0.02,15,2,descent,cruise,53466,206,0.003852915871768975,0.5557019979739716,False
pca,-1,primary,0.02,15,2,descent,descent,45284,1377,0.03040809115802491,0.5557019979739716,False
pca,-1,primary,0.02,all,mixed,descent,climb,114708,128,0.0011158768350943264,0.5557019979739716,False
pca,-1,primary,0.02,all,mixed,descent,cruise,173378,651,0.0037548016472678195,0.5557019979739716,False
pca,-1,primary,0.02,all,mixed,descent,descent,145027,4041,0.02786377708978328,0.5557019979739716,False
pca,-1,alt_rate,0.005,11,3,climb,climb,58507,192,0.0032816586049532535,0.1667722613258169,True
pca,-1,alt_rate,0.005,11,3,climb,cruise,83871,847,0.01009884226967605,0.1667722613258169,True
pca,-1,alt_rate,0.005,11,3,climb,descent,70928,7541,0.10631908414166479,0.1667722613258169,True
pca,-1,alt_rate,0.005,14,1,climb,climb,13993,602,0.04302151075537769,0.1667722613258169,False
pca,-1,alt_rate,0.005,14,1,climb,cruise,30506,1071,0.03510784763653052,0.1667722613258169,False
pca,-1,alt_rate,0.005,14,1,climb,descent,27769,3692,0.13295401346825597,0.1667722613258169,False
pca,-1,alt_rate,0.005,15,2,climb,climb,53843,261,0.004847426777854131,0.1667722613258169,False
pca,-1,alt_rate,0.005,15,2,climb,cruise,43303,215,0.004965013971318384,0.1667722613258169,False
pca,-1,alt_rate,0.005,15,2,climb,descent,50393,6192,0.122874208719465,0.1667722613258169,False
pca,-1,alt_rate,0.005,all,mixed,climb,climb,126343,1055,0.00835028454287139,0.1667722613258169,False
pca,-1,alt_rate,0.005,all,mixed,climb,cruise,157680,2133,0.013527397260273973,0.1667722613258169,False
pca,-1,alt_rate,0.005,all,mixed,climb,descent,149090,17425,0.1168757126567845,0.1667722613258169,False
pca,-1,alt_rate,0.005,11,3,cruise,climb,58507,145,0.0024783359256157385,0.2247516145123934,True
pca,-1,alt_rate,0.005,11,3,cruise,cruise,83871,517,0.006164228398373693,0.2247516145123934,True
pca,-1,alt_rate,0.005,11,3,cruise,descent,70928,5426,0.07650011279043537,0.2247516145123934,True
pca,-1,alt_rate,0.005,14,1,cruise,climb,13993,447,0.031944543700421636,0.2247516145123934,False
pca,-1,alt_rate,0.005,14,1,cruise,cruise,30506,582,0.0190782141218121,0.2247516145123934,False
pca,-1,alt_rate,0.005,14,1,cruise,descent,27769,2833,0.10202023839533292,0.2247516145123934,False
pca,-1,alt_rate,0.005,15,2,cruise,climb,53843,150,0.0027858774585368573,0.2247516145123934,False
pca,-1,alt_rate,0.005,15,2,cruise,cruise,43303,168,0.003879638824099947,0.2247516145123934,False
pca,-1,alt_rate,0.005,15,2,cruise,descent,50393,4609,0.09146111563113925,0.2247516145123934,False
pca,-1,alt_rate,0.005,all,mixed,cruise,climb,126343,742,0.00587290154579201,0.2247516145123934,False
pca,-1,alt_rate,0.005,all,mixed,cruise,cruise,157680,1267,0.008035261288685947,0.2247516145123934,False
pca,-1,alt_rate,0.005,all,mixed,cruise,descent,149090,12868,0.0863102823797706,0.2247516145123934,False
pca,-1,alt_rate,0.005,11,3,descent,climb,58507,2,3.418394380159639e-05,2.058442307896226,True
pca,-1,alt_rate,0.005,11,3,descent,cruise,83871,47,0.0005603843998521539,2.058442307896226,True
pca,-1,alt_rate,0.005,11,3,descent,descent,70928,313,0.0044129257838935254,2.058442307896226,True
pca,-1,alt_rate,0.005,14,1,descent,climb,13993,1,7.14643035803616e-05,2.058442307896226,False
pca,-1,alt_rate,0.005,14,1,descent,cruise,30506,8,0.00026224349308332786,2.058442307896226,False
pca,-1,alt_rate,0.005,14,1,descent,descent,27769,113,0.004069285894342612,2.058442307896226,False
pca,-1,alt_rate,0.005,15,2,descent,climb,53843,11,0.00020429768029270285,2.058442307896226,False
pca,-1,alt_rate,0.005,15,2,descent,cruise,43303,5,0.0001154654411934508,2.058442307896226,False
pca,-1,alt_rate,0.005,15,2,descent,descent,50393,212,0.004206933502669021,2.058442307896226,False
pca,-1,alt_rate,0.005,all,mixed,descent,climb,126343,14,0.00011080946312815115,2.058442307896226,False
pca,-1,alt_rate,0.005,all,mixed,descent,cruise,157680,60,0.000380517503805175,2.058442307896226,False
pca,-1,alt_rate,0.005,all,mixed,descent,descent,149090,638,0.004279294385941377,2.058442307896226,False
pca,-1,alt_rate,0.01,11,3,climb,climb,58507,362,0.006187293828088946,0.12037882165085663,True
pca,-1,alt_rate,0.01,11,3,climb,cruise,83871,1398,0.01666845512751726,0.12037882165085663,True
pca,-1,alt_rate,0.01,11,3,climb,descent,70928,10932,0.15412812993458155,0.12037882165085663,True
pca,-1,alt_rate,0.01,14,1,climb,climb,13993,851,0.06081612234688773,0.12037882165085663,False
pca,-1,alt_rate,0.01,14,1,climb,cruise,30506,1913,0.06270897528355078,0.12037882165085663,False
pca,-1,alt_rate,0.01,14,1,climb,descent,27769,4613,0.16612049407612806,0.12037882165085663,False
pca,-1,alt_rate,0.01,15,2,climb,climb,53843,651,0.01209070817004996,0.12037882165085663,False
pca,-1,alt_rate,0.01,15,2,climb,cruise,43303,299,0.006904833383368358,0.12037882165085663,False
pca,-1,alt_rate,0.01,15,2,climb,descent,50393,8914,0.17688964737165877,0.12037882165085663,False
pca,-1,alt_rate,0.01,all,mixed,climb,climb,126343,1864,0.014753488519348124,0.12037882165085663,False
pca,-1,alt_rate,0.01,all,mixed,climb,cruise,157680,3610,0.02289446981227803,0.12037882165085663,False
pca,-1,alt_rate,0.01,all,mixed,climb,descent,149090,24459,0.16405526862968678,0.12037882165085663,False
pca,-1,alt_rate,0.01,11,3,cruise,climb,58507,170,0.0029056352231356932,0.18319038304151694,True
pca,-1,alt_rate,0.01,11,3,cruise,cruise,83871,754,0.008989996542309022,0.18319038304151694,True
pca,-1,alt_rate,0.01,11,3,cruise,descent,70928,6775,0.09551939995488383,0.18319038304151694,True
pca,-1,alt_rate,0.01,14,1,cruise,climb,13993,548,0.039162438362038164,0.18319038304151694,False
pca,-1,alt_rate,0.01,14,1,cruise,cruise,30506,868,0.028453418999541073,0.18319038304151694,False
pca,-1,alt_rate,0.01,14,1,cruise,descent,27769,3461,0.12463538478159099,0.18319038304151694,False
pca,-1,alt_rate,0.01,15,2,cruise,climb,53843,212,0.003937373474732091,0.18319038304151694,False
pca,-1,alt_rate,0.01,15,2,cruise,cruise,43303,204,0.004710990000692793,0.18319038304151694,False
pca,-1,alt_rate,0.01,15,2,cruise,descent,50393,5716,0.11342845236441569,0.18319038304151694,False
pca,-1,alt_rate,0.01,all,mixed,cruise,climb,126343,930,0.00736091433637004,0.18319038304151694,False
pca,-1,alt_rate,0.01,all,mixed,cruise,cruise,157680,1826,0.011580416032470828,0.18319038304151694,False
pca,-1,alt_rate,0.01,all,mixed,cruise,descent,149090,15952,0.10699577436447784,0.18319038304151694,False
pca,-1,alt_rate,0.01,11,3,descent,climb,58507,12,0.00020510366280957835,1.015523805945736,True
