detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
pca,-1,alt_rate,0.01,11,3,cruise,83871,197,0.0023488452504441346,0.5031777905496853,True
pca,-1,alt_rate,0.01,11,3,descent,70928,2166,0.030538010376720055,0.5031777905496853,True
pca,-1,alt_rate,0.01,14,1,overall,72268,1525,0.02110200918802236,0.5031777905496853,False
pca,-1,alt_rate,0.01,14,1,climb,13993,37,0.0026441792324733795,0.5031777905496853,False
pca,-1,alt_rate,0.01,14,1,cruise,30506,146,0.004785943748770734,0.5031777905496853,False
pca,-1,alt_rate,0.01,14,1,descent,27769,1342,0.04832727141776801,0.5031777905496853,False
pca,-1,alt_rate,0.01,15,2,overall,147539,1942,0.013162621408576715,0.5031777905496853,False
pca,-1,alt_rate,0.01,15,2,climb,53843,56,0.00104006091785376,0.5031777905496853,False
pca,-1,alt_rate,0.01,15,2,cruise,43303,82,0.0018936332355725932,0.5031777905496853,False
pca,-1,alt_rate,0.01,15,2,descent,50393,1804,0.035798622824598655,0.5031777905496853,False
pca,-1,alt_rate,0.01,all,mixed,overall,433113,5902,0.013626928769166477,0.5031777905496853,False
pca,-1,alt_rate,0.01,all,mixed,climb,126343,165,0.0013059686725817813,0.5031777905496853,False
pca,-1,alt_rate,0.01,all,mixed,cruise,157680,425,0.0026953323186199897,0.5031777905496853,False
pca,-1,alt_rate,0.01,all,mixed,descent,149090,5312,0.035629485545643574,0.5031777905496853,False
pca,-1,alt_rate,0.02,11,3,overall,213306,4988,0.0233842461065324,0.27414895803444067,True
pca,-1,alt_rate,0.02,11,3,climb,58507,121,0.0020681285999965817,0.27414895803444067,True
pca,-1,alt_rate,0.02,11,3,cruise,83871,355,0.004232690679734354,0.27414895803444067,True
pca,-1,alt_rate,0.02,11,3,descent,70928,4512,0.06361380554928941,0.27414895803444067,True
pca,-1,alt_rate,0.02,14,1,overall,72268,2923,0.04044667072563237,0.27414895803444067,False
pca,-1,alt_rate,0.02,14,1,climb,13993,325,0.023225898663617524,0.27414895803444067,False
pca,-1,alt_rate,0.02,14,1,cruise,30506,428,0.014030026879958041,0.27414895803444067,False
pca,-1,alt_rate,0.02,14,1,descent,27769,2170,0.07814469372321653,0.27414895803444067,False
pca,-1,alt_rate,0.02,15,2,overall,147539,3958,0.026826805115935447,0.27414895803444067,False
pca,-1,alt_rate,0.02,15,2,climb,53843,90,0.0016715264751221144,0.27414895803444067,False
pca,-1,alt_rate,0.02,15,2,cruise,43303,140,0.003233032353416622,0.27414895803444067,False
pca,-1,alt_rate,0.02,15,2,descent,50393,3728,0.07397852876391563,0.27414895803444067,False
pca,-1,alt_rate,0.02,all,mixed,overall,433113,11869,0.02740393384636342,0.27414895803444067,False
pca,-1,alt_rate,0.02,all,mixed,climb,126343,536,0.0042424194454777865,0.27414895803444067,False
pca,-1,alt_rate,0.02,all,mixed,cruise,157680,923,0.005853627600202943,0.27414895803444067,False
pca,-1,alt_rate,0.02,all,mixed,descent,149090,10410,0.06982359648534442,0.27414895803444067,False
isolation_forest,0,primary,0.005,11,3,overall,213306,1154,0.005410068164983638,0.6284700307065089,True
isolation_forest,0,primary,0.005,11,3,climb,53678,17,0.0003167033048921346,0.6284700307065089,True
isolation_forest,0,primary,0.005,11,3,cruise,86535,158,0.0018258508118102503,0.6284700307065089,True
isolation_forest,0,primary,0.005,11,3,descent,73093,979,0.01339389544826454,0.6284700307065089,True
isolation_forest,0,primary,0.005,14,1,overall,72268,448,0.006199147617202635,0.6284700307065089,False
isolation_forest,0,primary,0.005,14,1,climb,12241,97,0.00792418920022874,0.6284700307065089,False
isolation_forest,0,primary,0.005,14,1,cruise,33377,161,0.004823680977918926,0.6284700307065089,False
isolation_forest,0,primary,0.005,14,1,descent,26650,190,0.007129455909943715,0.6284700307065089,False
isolation_forest,0,primary,0.005,15,2,overall,147539,545,0.00369393855184053,0.6284700307065089,False
isolation_forest,0,primary,0.005,15,2,climb,48789,39,0.0007993605115907274,0.6284700307065089,False
isolation_forest,0,primary,0.005,15,2,cruise,53466,143,0.0026745969401114726,0.6284700307065089,False
isolation_forest,0,primary,0.005,15,2,descent,45284,363,0.008016076318346436,0.6284700307065089,False
isolation_forest,0,primary,0.005,all,mixed,overall,433113,2147,0.004957135897560221,0.6284700307065089,False
isolation_forest,0,primary,0.005,all,mixed,climb,114708,153,0.0013338215294486872,0.6284700307065089,False
isolation_forest,0,primary,0.005,all,mixed,cruise,173378,462,0.0026646979432223233,0.6284700307065089,False
isolation_forest,0,primary,0.005,all,mixed,descent,145027,1532,0.010563550235473394,0.6284700307065089,False
isolation_forest,0,primary,0.01,11,3,overall,213306,2003,0.00939026562778356,0.565119723987118,True
isolation_forest,0,primary,0.01,11,3,climb,53678,49,0.0009128507023361527,0.565119723987118,True
