detector,phase_definition,subset,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
static,alt_rate,calibration,all,mixed,descent,124500,3571,0.02868273092369478,0.386342093241334
static,alt_rate,official_test,11,3,overall,213306,2323,0.01089045783991074,0.386342093241334
static,alt_rate,official_test,11,3,climb,58507,70,0.0011964380330558735,0.386342093241334
static,alt_rate,official_test,11,3,cruise,83871,203,0.0024203836844678135,0.386342093241334
static,alt_rate,official_test,11,3,descent,70928,2050,0.028902549063839385,0.386342093241334
static,alt_rate,official_test,14,1,overall,72268,1442,0.01995350639287098,0.386342093241334
static,alt_rate,official_test,14,1,climb,13993,87,0.00621739441149146,0.386342093241334
static,alt_rate,official_test,14,1,cruise,30506,317,0.010391398413426867,0.386342093241334
static,alt_rate,official_test,14,1,descent,27769,1038,0.03737981202059851,0.386342093241334
static,alt_rate,official_test,15,2,overall,147539,1766,0.01196971648174381,0.386342093241334
static,alt_rate,official_test,15,2,climb,53843,50,0.0009286258195122857,0.386342093241334
static,alt_rate,official_test,15,2,cruise,43303,129,0.0029790083827910306,0.386342093241334
static,alt_rate,official_test,15,2,descent,50393,1587,0.0314924691921497,0.386342093241334
static,alt_rate,official_test,all,mixed,overall,433113,5531,0.012770339380254113,0.386342093241334
static,alt_rate,official_test,all,mixed,climb,126343,207,0.0016383970619662349,0.386342093241334
static,alt_rate,official_test,all,mixed,cruise,157680,649,0.0041159309994926434,0.386342093241334
static,alt_rate,official_test,all,mixed,descent,149090,4675,0.03135689851767389,0.386342093241334
static_derivative,primary,train,2,3,overall,188863,1937,0.010256111572939115,0.5077146601413203
static_derivative,primary,train,2,3,climb,57051,16,0.0002804508247007064,0.5077146601413203
static_derivative,primary,train,2,3,cruise,77394,499,0.0064475282321627,0.5077146601413203
static_derivative,primary,train,2,3,descent,54418,1422,0.02613105957587563,0.5077146601413203
static_derivative,primary,train,5,3,overall,188550,1711,0.009074516043489791,0.5077146601413203
static_derivative,primary,train,5,3,climb,49075,10,0.00020376974019358125,0.5077146601413203
static_derivative,primary,train,5,3,cruise,86669,135,0.0015576503709515512,0.5077146601413203
static_derivative,primary,train,5,3,descent,52806,1566,0.029655720940802183,0.5077146601413203
static_derivative,primary,train,10,3,overall,188050,1406,0.007476734910927945,0.5077146601413203
static_derivative,primary,train,10,3,climb,50427,0,0.0,0.5077146601413203
static_derivative,primary,train,10,3,cruise,83833,198,0.0023618384168525523,0.5077146601413203
static_derivative,primary,train,10,3,descent,53790,1208,0.022457705893288715,0.5077146601413203
static_derivative,primary,train,16,3,overall,194619,1808,0.009289945997050648,0.5077146601413203
static_derivative,primary,train,16,3,climb,52689,1,1.8979293590692555e-05,0.5077146601413203
static_derivative,primary,train,16,3,cruise,84042,334,0.003974203374503224,0.5077146601413203
static_derivative,primary,train,16,3,descent,57888,1473,0.02544568822553897,0.5077146601413203
static_derivative,primary,train,all,mixed,overall,760082,6862,0.009027973297617889,0.5077146601413203
static_derivative,primary,train,all,mixed,climb,209242,27,0.0001290371913860506,0.5077146601413203
static_derivative,primary,train,all,mixed,cruise,331938,1166,0.003512704179696208,0.5077146601413203
static_derivative,primary,train,all,mixed,descent,218902,5669,0.025897433554741393,0.5077146601413203
static_derivative,primary,calibration,18,3,overall,193289,1830,0.009467688280243573,0.5077146601413203
static_derivative,primary,calibration,18,3,climb,56332,43,0.0007633316764893844,0.5077146601413203
static_derivative,primary,calibration,18,3,cruise,78219,294,0.0037586775591608177,0.5077146601413203
static_derivative,primary,calibration,18,3,descent,58738,1493,0.025417957710511082,0.5077146601413203
static_derivative,primary,calibration,20,3,overall,193354,2036,0.010529908871810255,0.5077146601413203
static_derivative,primary,calibration,20,3,climb,53830,6,0.0001114620100315809,0.5077146601413203
static_derivative,primary,calibration,20,3,cruise,68886,417,0.006053479662050344,0.5077146601413203
static_derivative,primary,calibration,20,3,descent,70638,1613,0.02283473484526742,0.5077146601413203
static_derivative,primary,calibration,all,mixed,overall,386643,3866,0.009998887862964026,0.5077146601413203
static_derivative,primary,calibration,all,mixed,climb,110162,49,0.00044479947713367584,0.5077146601413203
static_derivative,primary,calibration,all,mixed,cruise,147105,711,0.004833282349342306,0.5077146601413203
static_derivative,primary,calibration,all,mixed,descent,129376,3106,0.024007543903042296,0.5077146601413203
static_derivative,primary,official_test,11,3,overall,213306,2483,0.011640553945974328,0.5077146601413203
static_derivative,primary,official_test,11,3,climb,53678,49,0.0009128507023361527,0.5077146601413203
static_derivative,primary,official_test,11,3,cruise,86535,370,0.004275726584618941,0.5077146601413203
static_derivative,primary,official_test,11,3,descent,73093,2064,0.02823799816671911,0.5077146601413203
static_derivative,primary,official_test,14,1,overall,72268,1072,0.014833674655449162,0.5077146601413203
static_derivative,primary,official_test,14,1,climb,12241,5,0.000408463360836533,0.5077146601413203
static_derivative,primary,official_test,14,1,cruise,33377,206,0.006171914791622974,0.5077146601413203
static_derivative,primary,official_test,14,1,descent,26650,861,0.03230769230769231,0.5077146601413203
static_derivative,primary,official_test,15,2,overall,147539,1812,0.012281498451256955,0.5077146601413203
static_derivative,primary,official_test,15,2,climb,48789,16,0.0003279427739859395,0.5077146601413203
static_derivative,primary,official_test,15,2,cruise,53466,217,0.004058654097931396,0.5077146601413203
static_derivative,primary,official_test,15,2,descent,45284,1579,0.034868827842063424,0.5077146601413203
static_derivative,primary,official_test,all,mixed,overall,433113,5367,0.012391685310761857,0.5077146601413203
static_derivative,primary,official_test,all,mixed,climb,114708,70,0.0006102451441922097,0.5077146601413203
static_derivative,primary,official_test,all,mixed,cruise,173378,793,0.0045738213614184035,0.5077146601413203
static_derivative,primary,official_test,all,mixed,descent,145027,4504,0.031056286070869563,0.5077146601413203
static_derivative,alt_rate,train,2,3,overall,188863,1937,0.010256111572939115,0.5077146601413203
static_derivative,alt_rate,train,2,3,climb,62603,18,0.0002875261568934396,0.5077146601413203
static_derivative,alt_rate,train,2,3,cruise,68374,222,0.003246848217158569,0.5077146601413203
static_derivative,alt_rate,train,2,3,descent,57886,1697,0.02931624226928791,0.5077146601413203
static_derivative,alt_rate,train,5,3,overall,188550,1711,0.009074516043489791,0.5077146601413203
static_derivative,alt_rate,train,5,3,climb,53461,10,0.0001870522436916631,0.5077146601413203
static_derivative,alt_rate,train,5,3,cruise,77061,30,0.00038930198154708606,0.5077146601413203
static_derivative,alt_rate,train,5,3,descent,58028,1671,0.028796443096436204,0.5077146601413203
static_derivative,alt_rate,train,10,3,overall,188050,1406,0.007476734910927945,0.5077146601413203
static_derivative,alt_rate,train,10,3,climb,53315,0,0.0,0.5077146601413203
static_derivative,alt_rate,train,10,3,cruise,76877,97,0.00126175579171924,0.5077146601413203
static_derivative,alt_rate,train,10,3,descent,57858,1309,0.022624356182377545,0.5077146601413203
static_derivative,alt_rate,train,16,3,overall,194619,1808,0.009289945997050648,0.5077146601413203
static_derivative,alt_rate,train,16,3,climb,53813,3,5.574861093044432e-05,0.5077146601413203
static_derivative,alt_rate,train,16,3,cruise,79402,145,0.0018261504747991235,0.5077146601413203
static_derivative,alt_rate,train,16,3,descent,61404,1660,0.02703406944173018,0.5077146601413203
static_derivative,alt_rate,train,all,mixed,overall,760082,6862,0.009027973297617889,0.5077146601413203
static_derivative,alt_rate,train,all,mixed,climb,223192,31,0.00013889386716369763,0.5077146601413203
static_derivative,alt_rate,train,all,mixed,cruise,301714,494,0.0016373121565456028,0.5077146601413203
static_derivative,alt_rate,train,all,mixed,descent,235176,6337,0.02694577677994353,0.5077146601413203
static_derivative,alt_rate,calibration,18,3,overall,193289,1830,0.009467688280243573,0.5077146601413203
static_derivative,alt_rate,calibration,18,3,climb,59158,43,0.0007268670340444234,0.5077146601413203
static_derivative,alt_rate,calibration,18,3,cruise,71383,76,0.001064679265371307,0.5077146601413203
static_derivative,alt_rate,calibration,18,3,descent,62748,1711,0.027267801364186908,0.5077146601413203
static_derivative,alt_rate,calibration,20,3,overall,193354,2036,0.010529908871810255,0.5077146601413203
static_derivative,alt_rate,calibration,20,3,climb,52201,8,0.00015325376908488343,0.5077146601413203
static_derivative,alt_rate,calibration,20,3,cruise,79401,119,0.00149872167856828,0.5077146601413203
static_derivative,alt_rate,calibration,20,3,descent,61752,1909,0.030913978494623656,0.5077146601413203
static_derivative,alt_rate,calibration,all,mixed,overall,386643,3866,0.009998887862964026,0.5077146601413203
static_derivative,alt_rate,calibration,all,mixed,climb,111359,51,0.000457978250523083,0.5077146601413203
static_derivative,alt_rate,calibration,all,mixed,cruise,150784,195,0.001293240662139219,0.5077146601413203
static_derivative,alt_rate,calibration,all,mixed,descent,124500,3620,0.029076305220883534,0.5077146601413203
static_derivative,alt_rate,official_test,11,3,overall,213306,2483,0.011640553945974328,0.5077146601413203
static_derivative,alt_rate,official_test,11,3,climb,58507,63,0.0010767942297502863,0.5077146601413203
static_derivative,alt_rate,official_test,11,3,cruise,83871,207,0.002468075973816933,0.5077146601413203
static_derivative,alt_rate,official_test,11,3,descent,70928,2213,0.031200654184525153,0.5077146601413203
static_derivative,alt_rate,official_test,14,1,overall,72268,1072,0.014833674655449162,0.5077146601413203
static_derivative,alt_rate,official_test,14,1,climb,13993,5,0.00035732151790180804,0.5077146601413203
static_derivative,alt_rate,official_test,14,1,cruise,30506,191,0.006261063397364453,0.5077146601413203
static_derivative,alt_rate,official_test,14,1,descent,27769,876,0.031545968526054236,0.5077146601413203
static_derivative,alt_rate,official_test,15,2,overall,147539,1812,0.012281498451256955,0.5077146601413203
static_derivative,alt_rate,official_test,15,2,climb,53843,16,0.0002971602622439314,0.5077146601413203
static_derivative,alt_rate,official_test,15,2,cruise,43303,77,0.0017781677943791423,0.5077146601413203
static_derivative,alt_rate,official_test,15,2,descent,50393,1719,0.03411188061833985,0.5077146601413203
static_derivative,alt_rate,official_test,all,mixed,overall,433113,5367,0.012391685310761857,0.5077146601413203
static_derivative,alt_rate,official_test,all,mixed,climb,126343,84,0.0006648567787689069,0.5077146601413203
static_derivative,alt_rate,official_test,all,mixed,cruise,157680,475,0.0030124302384576356,0.5077146601413203
static_derivative,alt_rate,official_test,all,mixed,descent,149090,4808,0.03224897712790931,0.5077146601413203
history,primary,train,2,3,overall,188863,1884,0.009975484875279965,0.5031777905496853
history,primary,train,2,3,climb,57051,23,0.0004031480605072654,0.5031777905496853
history,primary,train,2,3,cruise,77394,466,0.006021138589554746,0.5031777905496853
history,primary,train,2,3,descent,54418,1395,0.025634900216840017,0.5031777905496853
history,primary,train,5,3,overall,188550,1680,0.008910103420843278,0.5031777905496853
history,primary,train,5,3,climb,49075,13,0.00026490066225165563,0.5031777905496853
history,primary,train,5,3,cruise,86669,131,0.0015114977673678016,0.5031777905496853
history,primary,train,5,3,descent,52806,1536,0.02908760368139984,0.5031777905496853
history,primary,train,10,3,overall,188050,1401,0.007450146237702739,0.5031777905496853
history,primary,train,10,3,climb,50427,1,1.983064628076229e-05,0.5031777905496853
history,primary,train,10,3,cruise,83833,185,0.0022067682177662733,0.5031777905496853
history,primary,train,10,3,descent,53790,1215,0.022587841606246516,0.5031777905496853
history,primary,train,16,3,overall,194619,1839,0.009449231575539901,0.5031777905496853
history,primary,train,16,3,climb,52689,2,3.795858718138511e-05,0.5031777905496853
history,primary,train,16,3,cruise,84042,318,0.0037838223745270223,0.5031777905496853
history,primary,train,16,3,descent,57888,1519,0.026240326147042563,0.5031777905496853
history,primary,train,all,mixed,overall,760082,6804,0.00895166574132791,0.5031777905496853
history,primary,train,all,mixed,climb,209242,39,0.00018638705422429532,0.5031777905496853
history,primary,train,all,mixed,cruise,331938,1100,0.0033138718676379323,0.5031777905496853
history,primary,train,all,mixed,descent,218902,5665,0.025879160537592164,0.5031777905496853
history,primary,calibration,18,3,overall,193289,1849,0.009565986683153206,0.5031777905496853
history,primary,calibration,18,3,climb,56332,41,0.0007278278775829013,0.5031777905496853
history,primary,calibration,18,3,cruise,78219,295,0.0037714621767089835,0.5031777905496853
history,primary,calibration,18,3,descent,58738,1513,0.02575845279035718,0.5031777905496853
history,primary,calibration,20,3,overall,193354,2017,0.010431643513969196,0.5031777905496853
history,primary,calibration,20,3,climb,53830,8,0.0001486160133754412,0.5031777905496853
history,primary,calibration,20,3,cruise,68886,396,0.005748628168278025,0.5031777905496853
history,primary,calibration,20,3,descent,70638,1613,0.02283473484526742,0.5031777905496853
history,primary,calibration,all,mixed,overall,386643,3866,0.009998887862964026,0.5031777905496853
history,primary,calibration,all,mixed,climb,110162,49,0.00044479947713367584,0.5031777905496853
history,primary,calibration,all,mixed,cruise,147105,691,0.00469732503993746,0.5031777905496853
history,primary,calibration,all,mixed,descent,129376,3126,0.02416213208013851,0.5031777905496853
history,primary,official_test,11,3,overall,213306,2435,0.01141552511415525,0.5031777905496853
