detector,phase_definition,unit,flight_class,calibration_phase,test_phase,threshold,n,false_alarms,false_alarm_rate
static_derivative,alt_rate,14,1,descent,cruise,1.0468408579541575,30506,36,0.0011800957188749753
static_derivative,alt_rate,14,1,descent,descent,1.0468408579541575,27769,63,0.002268716914544996
static_derivative,alt_rate,15,2,descent,climb,1.0468408579541575,53843,3,5.5717549170737147e-05
static_derivative,alt_rate,15,2,descent,cruise,1.0468408579541575,43303,28,0.0006466064706833244
static_derivative,alt_rate,15,2,descent,descent,1.0468408579541575,50393,416,0.008255114797690156
static_derivative,alt_rate,all,mixed,descent,climb,1.0468408579541575,126343,8,6.331969321608636e-05
static_derivative,alt_rate,all,mixed,descent,cruise,1.0468408579541575,157680,167,0.001059107052257737
static_derivative,alt_rate,all,mixed,descent,descent,1.0468408579541575,149090,1156,0.007753705815279362
history,primary,11,3,climb,climb,0.11985932733195781,53678,334,0.006222288460821938
history,primary,11,3,climb,cruise,0.11985932733195781,86535,2479,0.0286473681169469
history,primary,11,3,climb,descent,0.11985932733195781,73093,9964,0.13631948339786298
history,primary,14,1,climb,climb,0.11985932733195781,12241,650,0.053100236908749286
history,primary,14,1,climb,cruise,0.11985932733195781,33377,2397,0.07181592114330228
history,primary,14,1,climb,descent,0.11985932733195781,26650,4370,0.16397748592870545
history,primary,15,2,climb,climb,0.11985932733195781,48789,625,0.01281026460882576
history,primary,15,2,climb,cruise,0.11985932733195781,53466,1071,0.020031421838177535
history,primary,15,2,climb,descent,0.11985932733195781,45284,8225,0.18163148131790477
history,primary,all,mixed,climb,climb,0.11985932733195781,114708,1609,0.01402692052864665
history,primary,all,mixed,climb,cruise,0.11985932733195781,173378,5947,0.0343007763384051
history,primary,all,mixed,climb,descent,0.11985932733195781,145027,22559,0.15555034579767904
history,primary,11,3,cruise,climb,0.20799296362184,53678,124,0.00231007116509557
history,primary,11,3,cruise,cruise,0.20799296362184,86535,938,0.010839544692898826
history,primary,11,3,cruise,descent,0.20799296362184,73093,5543,0.07583489527040893
history,primary,14,1,cruise,climb,0.20799296362184,12241,376,0.03071644473490728
history,primary,14,1,cruise,cruise,0.20799296362184,33377,862,0.025826167720286425
history,primary,14,1,cruise,descent,0.20799296362184,26650,3028,0.11362101313320826
history,primary,15,2,cruise,climb,0.20799296362184,48789,166,0.003402406280104122
history,primary,15,2,cruise,cruise,0.20799296362184,53466,501,0.009370441027942992
history,primary,15,2,cruise,descent,0.20799296362184,45284,4656,0.10281777228160056
history,primary,all,mixed,cruise,climb,0.20799296362184,114708,666,0.0058060466576001675
