detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
static,primary,official_test,14,12,1,overall,2641,106,1,14
static,primary,official_test,14,12,1,climb,1059,0,0,0
static,primary,official_test,14,12,1,cruise,390,0,0,0
static,primary,official_test,14,12,1,descent,1192,106,1,14
static,primary,official_test,14,13,1,overall,1303,78,1,27
static,primary,official_test,14,13,1,climb,87,7,1,1
static,primary,official_test,14,13,1,cruise,1069,47,1,20
static,primary,official_test,14,13,1,descent,147,24,1,7
static,primary,official_test,14,14,1,overall,2629,14,1,8
static,primary,official_test,14,14,1,climb,490,0,0,0
static,primary,official_test,14,14,1,cruise,1339,6,1,5
static,primary,official_test,14,14,1,descent,800,8,1,3
static,primary,official_test,14,15,1,overall,1930,10,1,6
static,primary,official_test,14,15,1,climb,486,0,0,0
static,primary,official_test,14,15,1,cruise,795,3,1,3
static,primary,official_test,14,15,1,descent,649,7,1,3
static,primary,official_test,14,16,1,overall,1528,28,1,10
static,primary,official_test,14,16,1,climb,435,0,0,0
static,primary,official_test,14,16,1,cruise,592,3,1,2
static,primary,official_test,14,16,1,descent,501,25,1,8
static,primary,official_test,14,17,1,overall,2641,108,1,13
static,primary,official_test,14,17,1,climb,1059,0,0,0
static,primary,official_test,14,17,1,cruise,390,0,0,0
static,primary,official_test,14,17,1,descent,1192,108,1,13
static,primary,official_test,14,18,1,overall,2629,14,1,8
static,primary,official_test,14,18,1,climb,490,0,0,0
static,primary,official_test,14,18,1,cruise,1339,6,1,5
static,primary,official_test,14,18,1,descent,800,8,1,3
static,primary,official_test,14,19,1,overall,1706,26,1,10
static,primary,official_test,14,19,1,climb,38,0,0,0
static,primary,official_test,14,19,1,cruise,47,0,0,0
static,primary,official_test,14,19,1,descent,1621,26,1,10
static,primary,official_test,14,20,1,overall,2629,14,1,8
static,primary,official_test,14,20,1,climb,490,0,0,0
static,primary,official_test,14,20,1,cruise,1339,6,1,5
static,primary,official_test,14,20,1,descent,800,8,1,3
static,primary,official_test,14,21,1,overall,1706,26,1,10
static,primary,official_test,14,21,1,climb,38,0,0,0
static,primary,official_test,14,21,1,cruise,47,0,0,0
static,primary,official_test,14,21,1,descent,1621,26,1,10
static,primary,official_test,14,22,1,overall,1887,33,1,14
static,primary,official_test,14,22,1,climb,227,6,1,1
static,primary,official_test,14,22,1,cruise,1396,23,1,11
static,primary,official_test,14,22,1,descent,264,4,1,3
static,primary,official_test,14,23,1,overall,2629,14,1,8
static,primary,official_test,14,23,1,climb,490,0,0,0
static,primary,official_test,14,23,1,cruise,1339,6,1,5
static,primary,official_test,14,23,1,descent,800,8,1,3
static,primary,official_test,14,24,1,overall,2641,110,1,11
static,primary,official_test,14,24,1,climb,1059,0,0,0
static,primary,official_test,14,24,1,cruise,390,0,0,0
static,primary,official_test,14,24,1,descent,1192,110,1,11
static,primary,official_test,14,25,1,overall,2551,21,1,6
static,primary,official_test,14,25,1,climb,79,0,0,0
static,primary,official_test,14,25,1,cruise,2364,14,1,3
static,primary,official_test,14,25,1,descent,108,7,1,3
static,primary,official_test,14,26,1,overall,2034,41,1,11
static,primary,official_test,14,26,1,climb,135,19,1,5
static,primary,official_test,14,26,1,cruise,84,0,0,0
static,primary,official_test,14,26,1,descent,1815,22,1,6
static,primary,official_test,14,27,1,overall,1887,35,1,15
static,primary,official_test,14,27,1,climb,227,7,1,1
static,primary,official_test,14,27,1,cruise,1396,24,1,12
static,primary,official_test,14,27,1,descent,264,4,1,3
static,primary,official_test,14,28,1,overall,2629,14,1,8
static,primary,official_test,14,28,1,climb,490,0,0,0
static,primary,official_test,14,28,1,cruise,1339,6,1,5
static,primary,official_test,14,28,1,descent,800,8,1,3
static,primary,official_test,14,29,1,overall,1887,31,1,15
static,primary,official_test,14,29,1,climb,227,3,1,1
static,primary,official_test,14,29,1,cruise,1396,24,1,12
static,primary,official_test,14,29,1,descent,264,4,1,3
static,primary,official_test,14,30,1,overall,1528,26,1,9
static,primary,official_test,14,30,1,climb,435,0,0,0
static,primary,official_test,14,30,1,cruise,592,1,1,1
static,primary,official_test,14,30,1,descent,501,25,1,8
static,primary,official_test,14,31,1,overall,2629,13,1,7
static,primary,official_test,14,31,1,climb,490,0,0,0
static,primary,official_test,14,31,1,cruise,1339,5,1,4
static,primary,official_test,14,31,1,descent,800,8,1,3
static,primary,official_test,14,32,1,overall,1006,142,1,27
static,primary,official_test,14,32,1,climb,262,5,1,2
static,primary,official_test,14,32,1,cruise,356,11,1,2
static,primary,official_test,14,32,1,descent,388,126,1,23
static,primary,official_test,14,33,1,overall,1528,28,1,9
static,primary,official_test,14,33,1,climb,435,0,0,0
static,primary,official_test,14,33,1,cruise,592,1,1,1
static,primary,official_test,14,33,1,descent,501,27,1,8
static,primary,official_test,14,34,1,overall,1944,36,1,18
static,primary,official_test,14,34,1,climb,142,0,0,0
static,primary,official_test,14,34,1,cruise,1554,18,1,11
static,primary,official_test,14,34,1,descent,248,18,1,7
static,primary,official_test,14,35,1,overall,1706,26,1,10
static,primary,official_test,14,35,1,climb,38,0,0,0
static,primary,official_test,14,35,1,cruise,47,0,0,0
static,primary,official_test,14,35,1,descent,1621,26,1,10
static,primary,official_test,15,1,2,overall,2669,14,1,9
static,primary,official_test,15,1,2,climb,625,0,0,0
static,primary,official_test,15,1,2,cruise,752,0,0,0
static,primary,official_test,15,1,2,descent,1292,14,1,9
static,primary,official_test,15,2,2,overall,7711,10,1,6
static,primary,official_test,15,2,2,climb,2028,0,0,0
static,primary,official_test,15,2,2,cruise,3298,0,0,0
static,primary,official_test,15,2,2,descent,2385,10,1,6
static,primary,official_test,15,3,2,overall,5503,116,1,33
static,primary,official_test,15,3,2,climb,3519,0,0,0
static,primary,official_test,15,3,2,cruise,722,10,1,2
static,primary,official_test,15,3,2,descent,1262,106,1,31
