detector,phase_definition,subset,unit,flight_class,phase,healthy_flights,flights_with_false_alarm,fraction_flights_with_false_alarm,false_alarm_events,events_per_healthy_flight
history,primary,official_test,15,2,overall,23,23,1.0,442,19.217391304347824
history,primary,official_test,all,mixed,climb,76,10,0.13157894736842105,24,0.3157894736842105
history,primary,official_test,all,mixed,cruise,76,38,0.5,337,4.434210526315789
history,primary,official_test,all,mixed,descent,76,75,0.9868421052631579,1218,16.026315789473685
history,primary,official_test,all,mixed,overall,76,75,0.9868421052631579,1579,20.776315789473685
history,alt_rate,official_test,11,3,climb,18,3,0.16666666666666666,17,0.9444444444444444
history,alt_rate,official_test,11,3,cruise,18,13,0.7222222222222222,96,5.333333333333333
history,alt_rate,official_test,11,3,descent,18,18,1.0,709,39.388888888888886
history,alt_rate,official_test,11,3,overall,18,18,1.0,822,45.666666666666664
history,alt_rate,official_test,14,1,climb,35,6,0.17142857142857143,12,0.34285714285714286
history,alt_rate,official_test,14,1,cruise,35,12,0.34285714285714286,100,2.857142857142857
history,alt_rate,official_test,14,1,descent,35,34,0.9714285714285714,203,5.8
history,alt_rate,official_test,14,1,overall,35,34,0.9714285714285714,315,9.0
history,alt_rate,official_test,15,2,climb,23,4,0.17391304347826086,9,0.391304347826087
history,alt_rate,official_test,15,2,cruise,23,5,0.21739130434782608,45,1.9565217391304348
history,alt_rate,official_test,15,2,descent,23,23,1.0,389,16.91304347826087
history,alt_rate,official_test,15,2,overall,23,23,1.0,442,19.217391304347824
history,alt_rate,official_test,all,mixed,climb,76,13,0.17105263157894737,38,0.5
history,alt_rate,official_test,all,mixed,cruise,76,30,0.39473684210526316,241,3.1710526315789473
history,alt_rate,official_test,all,mixed,descent,76,75,0.9868421052631579,1301,17.11842105263158
history,alt_rate,official_test,all,mixed,overall,76,75,0.9868421052631579,1579,20.776315789473685
