correction,phase_definition,overall_fpr,climb_fpr,cruise_fpr,descent_fpr,max_min_phase_fpr_ratio,worst_offdiagonal_transfer_fpr,score_only_phase_balanced_accuracy,climb_flights_with_alarm,cruise_flights_with_alarm,descent_flights_with_alarm,events_per_flight
static,primary,0.012770339380254113,0.0014645883460613035,0.0058311896549735264,0.03000820536865549,20.489173937069847,0.14306301585222062,0.5079339475436977,0.2236842105263158,0.6578947368421053,0.9868421052631579,22.5
static,alt_rate,0.012770339380254113,0.0016383970619662349,0.0041159309994926434,0.03135689851767389,19.1387663256931,0.15058018646455162,0.5285800855863331,0.25,0.5657894736842105,0.9868421052631579,22.5
static_derivative,primary,0.012391685310761857,0.0006102451441922097,0.0045738213614184035,0.031056286070869563,50.89149232310437,0.1586463210298772,0.5100850115630361,0.07894736842105263,0.4868421052631579,0.9736842105263158,24.026315789473685
static_derivative,alt_rate,0.012391685310761857,0.0006648567787689069,0.0030124302384576356,0.03224897712790931,48.50514901513626,0.16280099268897982,0.5188221205801843,0.09210526315789473,0.40789473684210525,0.9736842105263158,24.026315789473685
history,primary,0.013626928769166477,0.001246643651706943,0.0042796663936600955,0.03459355844084205,27.749355955469294,0.15555034579767904,0.5101201946114243,0.13157894736842105,0.5,0.9868421052631579,20.776315789473685
history,alt_rate,0.013626928769166477,0.0013059686725817813,0.0026953323186199897,0.035629485545643574,27.28203692298937,0.16405526862968678,0.5274876877882752,0.17105263157894737,0.39473684210526316,0.9868421052631579,20.776315789473685
