detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
history,alt_rate,train,16,3,cruise,79402,0.02612575975296956,0.014985314408644307,0.05097113155281346,0.07445429729776128,0.15587145124856583
history,alt_rate,train,16,3,descent,61404,0.2633607043400486,0.048432751559747536,0.16866350556579335,0.3307306560099151,0.8693667792837384
history,alt_rate,train,all,mixed,climb,223192,0.014378673256712013,0.008070116272664669,0.030203963742649935,0.0465413796409971,0.10304940322502343
history,alt_rate,train,all,mixed,cruise,301714,0.024604950373196703,0.012004158089935404,0.045073134074058614,0.06499894715240209,0.12917843323627468
history,alt_rate,train,all,mixed,descent,235176,0.1702176295622178,0.04474215232907484,0.14983435700154613,0.30398055572655724,0.8765762333836706
history,alt_rate,calibration,18,3,climb,59158,0.01726843445073169,0.011359634995030203,0.029364900192397042,0.052479797374198674,0.12163960968749256
history,alt_rate,calibration,18,3,cruise,71383,0.026115134733178603,0.01312622357436369,0.0322872434351508,0.04882229270926003,0.10672347415165388
history,alt_rate,calibration,18,3,descent,62748,0.1684004406668753,0.04922600917287224,0.13318877777876167,0.3046305356299523,0.8762417561010647
history,alt_rate,calibration,20,3,climb,52201,0.019951003317074792,0.011269960633386875,0.04636579288318804,0.06787318226913307,0.11930091428280705
history,alt_rate,calibration,20,3,cruise,79401,0.03696728847318753,0.015062319781225273,0.07984866694002232,0.11704745887641306,0.21069981137475602
history,alt_rate,calibration,20,3,descent,61752,2.7115921937566134,0.05072100736697618,0.1736953822376825,0.3385975995388508,1.2274824293614395
history,alt_rate,calibration,all,mixed,climb,111359,0.018525923988101607,0.011326497039298502,0.039291290548553716,0.061466624771278774,0.12035418399438297
history,alt_rate,calibration,all,mixed,cruise,150784,0.03182974542867978,0.013897027187909458,0.05519950645068311,0.09290105883175913,0.1831835495391384
history,alt_rate,calibration,all,mixed,descent,124500,1.4298235501993857,0.04988422998009745,0.1536902303255985,0.32268086046274574,1.015495628616824
history,alt_rate,official_test,11,3,climb,58507,0.014328771415185328,0.008151136565040648,0.024352319274417018,0.04343929991031782,0.09938200920649848
history,alt_rate,official_test,11,3,cruise,83871,0.03437765407967816,0.011807562169662859,0.04237970274343861,0.06713776339449065,0.1676892485358463
