unit,cycle,flight_class,phase,n,false_alarms,false_alarm_rate
15,1,2,climb,625,0,0.0
15,1,2,cruise,752,0,0.0
15,1,2,descent,1292,3,0.0023219814241486067
15,2,2,climb,2028,0,0.0
15,2,2,cruise,3298,0,0.0
15,2,2,descent,2385,0,0.0
15,3,2,climb,3519,0,0.0
15,3,2,cruise,722,2,0.002770083102493075
15,3,2,descent,1262,142,0.11251980982567353
15,4,2,climb,2754,0,0.0
15,4,2,cruise,2405,0,0.0
15,4,2,descent,1213,2,0.0016488046166529267
15,5,2,climb,1642,0,0.0
15,5,2,cruise,2509,0,0.0
15,5,2,descent,1924,0,0.0
15,6,2,climb,3584,0,0.0
15,6,2,cruise,2702,7,0.0025906735751295338
15,6,2,descent,2871,8,0.002786485545106235
15,7,2,climb,2990,1,0.00033444816053511704
15,7,2,cruise,2120,0,0.0
15,7,2,descent,782,100,0.1278772378516624
15,8,2,climb,748,0,0.0
15,8,2,cruise,1371,0,0.0
15,8,2,descent,1896,1,0.0005274261603375527
15,9,2,climb,2650,0,0.0
15,9,2,cruise,4542,22,0.0048436811977102595
15,9,2,descent,1522,18,0.011826544021024968
15,10,2,climb,2439,0,0.0
15,10,2,cruise,1376,0,0.0
15,10,2,descent,1403,0,0.0
15,11,2,climb,2203,0,0.0
15,11,2,cruise,2046,0,0.0
15,11,2,descent,1752,3,0.0017123287671232876
15,12,2,climb,1990,0,0.0
15,12,2,cruise,3014,0,0.0
15,12,2,descent,3359,1,0.00029770765108663293
15,13,2,climb,1671,0,0.0
15,13,2,cruise,2573,0,0.0
15,13,2,descent,1517,4,0.0026367831245880024
15,14,2,climb,2058,0,0.0
15,14,2,cruise,3278,0,0.0
15,14,2,descent,1606,0,0.0
15,15,2,climb,2033,0,0.0
15,15,2,cruise,2970,11,0.003703703703703704
15,15,2,descent,3151,0,0.0
15,16,2,climb,2439,0,0.0
15,16,2,cruise,1376,0,0.0
15,16,2,descent,1403,0,0.0
15,17,2,climb,1845,0,0.0
15,17,2,cruise,2329,0,0.0
15,17,2,descent,1630,56,0.0343558282208589
15,18,2,climb,2033,0,0.0
15,18,2,cruise,2970,13,0.004377104377104377
15,18,2,descent,3151,0,0.0
15,19,2,climb,2887,0,0.0
15,19,2,cruise,1196,17,0.014214046822742474
15,19,2,descent,2699,17,0.006298629121896999
15,20,2,climb,1256,0,0.0
15,20,2,cruise,2569,0,0.0
15,20,2,descent,2440,0,0.0
15,21,2,climb,1264,0,0.0
15,21,2,cruise,2088,0,0.0
15,21,2,descent,3029,1,0.0003301419610432486
15,22,2,climb,2343,0,0.0
15,22,2,cruise,1857,0,0.0
15,22,2,descent,1301,22,0.016910069177555727
15,23,2,climb,1788,0,0.0
15,23,2,cruise,3403,0,0.0
15,23,2,descent,1696,1,0.0005896226415094339
