subset,sensor,r2,rmse
train,T24,0.9999653480480029,0.1081607716357681
train,T30,0.9999114819912852,0.5312347537465085
train,T48,0.999755067626774,1.5512208735884079
train,T50,0.9992277398149042,1.42839152495976
train,P15,0.9999969765477819,0.0037613708936860874
train,P2,0.9999999955083966,0.0001193220183251578
train,P21,0.9999969765477822,0.0038186506533202666
train,P24,0.9999910705562041,0.007883928643051718
train,Ps30,0.9999760248847139,0.21648079232696046
train,P40,0.9999767986062077,0.21614354048299397
train,P50,0.999992394670179,0.0052598108227095725
train,Nf,0.9999586708342106,0.9028995967152731
train,Nc,0.999950998728858,1.3116603811137961
train,Wf,0.9999466055447526,0.004153098829652341
calibration,T24,0.9999626209050473,0.11216258627013968
calibration,T30,0.9998716509679467,0.6254587231832641
calibration,T48,0.9996938442029456,1.683948237845742
calibration,T50,0.9989643586542024,1.6424725188261375
calibration,P15,0.9999966713075932,0.004028369199592089
calibration,P2,0.9999999952235094,0.00012552393333037018
calibration,P21,0.9999966713075928,0.004089714923660696
calibration,P24,0.9999903770595568,0.008333438653394403
calibration,Ps30,0.9999716855663188,0.2367060342253722
calibration,P40,0.9999724403472775,0.2370904174774033
calibration,P50,0.9999918173339126,0.005564087016798341
calibration,Nf,0.9999503041080655,0.9586276068132018
calibration,Nc,0.9999359124809043,1.4657904422792798
calibration,Wf,0.9999387740418476,0.004439374637245053
official_test,T24,0.9999582985395129,0.11613752323288719
official_test,T30,0.9999321488110033,0.4819478095681933
official_test,T48,0.9997218456151035,1.7386160786636455
official_test,T50,0.9990953565948332,1.5751081882994005
official_test,P15,0.9999953911068583,0.004599371982853231
official_test,P2,0.9999999920324837,0.00015682676765407235
official_test,P21,0.9999953911068582,0.0046694131806517955
official_test,P24,0.9999883546038152,0.00897174888093403
official_test,Ps30,0.9999699329446784,0.25108368195144304
official_test,P40,0.9999707652649108,0.2510991443006781
official_test,P50,0.9999904044412918,0.0059310990468200275
official_test,Nf,0.9999575467006431,0.9653532550916578
official_test,Nc,0.9999436417598087,1.4594202517575279
official_test,Wf,0.9999363906000601,0.00479981199353761
