detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
raw_pca,primary,official_test,14,8,1,climb,79,0,0,0
raw_pca,primary,official_test,14,8,1,cruise,2364,0,0,0
raw_pca,primary,official_test,14,8,1,descent,108,1,1,1
raw_pca,primary,official_test,14,9,1,overall,1706,0,0,0
raw_pca,primary,official_test,14,9,1,climb,38,0,0,0
raw_pca,primary,official_test,14,9,1,cruise,47,0,0,0
raw_pca,primary,official_test,14,9,1,descent,1621,0,0,0
raw_pca,primary,official_test,14,10,1,overall,1706,0,0,0
raw_pca,primary,official_test,14,10,1,climb,38,0,0,0
raw_pca,primary,official_test,14,10,1,cruise,47,0,0,0
raw_pca,primary,official_test,14,10,1,descent,1621,0,0,0
raw_pca,primary,official_test,14,11,1,overall,2346,0,0,0
raw_pca,primary,official_test,14,11,1,climb,482,0,0,0
raw_pca,primary,official_test,14,11,1,cruise,1040,0,0,0
raw_pca,primary,official_test,14,11,1,descent,824,0,0,0
raw_pca,primary,official_test,14,12,1,overall,2641,0,0,0
raw_pca,primary,official_test,14,12,1,climb,1059,0,0,0
raw_pca,primary,official_test,14,12,1,cruise,390,0,0,0
raw_pca,primary,official_test,14,12,1,descent,1192,0,0,0
raw_pca,primary,official_test,14,13,1,overall,1303,1,1,1
raw_pca,primary,official_test,14,13,1,climb,87,0,0,0
raw_pca,primary,official_test,14,13,1,cruise,1069,1,1,1
raw_pca,primary,official_test,14,13,1,descent,147,0,0,0
raw_pca,primary,official_test,14,14,1,overall,2629,0,0,0
raw_pca,primary,official_test,14,14,1,climb,490,0,0,0
raw_pca,primary,official_test,14,14,1,cruise,1339,0,0,0
raw_pca,primary,official_test,14,14,1,descent,800,0,0,0
raw_pca,primary,official_test,14,15,1,overall,1930,0,0,0
raw_pca,primary,official_test,14,15,1,climb,486,0,0,0
raw_pca,primary,official_test,14,15,1,cruise,795,0,0,0
raw_pca,primary,official_test,14,15,1,descent,649,0,0,0
raw_pca,primary,official_test,14,16,1,overall,1528,42,1,17
raw_pca,primary,official_test,14,16,1,climb,435,0,0,0
raw_pca,primary,official_test,14,16,1,cruise,592,0,0,0
raw_pca,primary,official_test,14,16,1,descent,501,42,1,17
raw_pca,primary,official_test,14,17,1,overall,2641,0,0,0
raw_pca,primary,official_test,14,17,1,climb,1059,0,0,0
raw_pca,primary,official_test,14,17,1,cruise,390,0,0,0
raw_pca,primary,official_test,14,17,1,descent,1192,0,0,0
raw_pca,primary,official_test,14,18,1,overall,2629,0,0,0
raw_pca,primary,official_test,14,18,1,climb,490,0,0,0
raw_pca,primary,official_test,14,18,1,cruise,1339,0,0,0
raw_pca,primary,official_test,14,18,1,descent,800,0,0,0
raw_pca,primary,official_test,14,19,1,overall,1706,1,1,1
raw_pca,primary,official_test,14,19,1,climb,38,0,0,0
raw_pca,primary,official_test,14,19,1,cruise,47,0,0,0
raw_pca,primary,official_test,14,19,1,descent,1621,1,1,1
raw_pca,primary,official_test,14,20,1,overall,2629,1,1,1
raw_pca,primary,official_test,14,20,1,climb,490,0,0,0
raw_pca,primary,official_test,14,20,1,cruise,1339,0,0,0
raw_pca,primary,official_test,14,20,1,descent,800,1,1,1
raw_pca,primary,official_test,14,21,1,overall,1706,1,1,1
raw_pca,primary,official_test,14,21,1,climb,38,0,0,0
raw_pca,primary,official_test,14,21,1,cruise,47,0,0,0
raw_pca,primary,official_test,14,21,1,descent,1621,1,1,1
raw_pca,primary,official_test,14,22,1,overall,1887,207,1,21
raw_pca,primary,official_test,14,22,1,climb,227,0,0,0
raw_pca,primary,official_test,14,22,1,cruise,1396,201,1,15
raw_pca,primary,official_test,14,22,1,descent,264,6,1,6
raw_pca,primary,official_test,14,23,1,overall,2629,0,0,0
raw_pca,primary,official_test,14,23,1,climb,490,0,0,0
raw_pca,primary,official_test,14,23,1,cruise,1339,0,0,0
raw_pca,primary,official_test,14,23,1,descent,800,0,0,0
raw_pca,primary,official_test,14,24,1,overall,2641,0,0,0
raw_pca,primary,official_test,14,24,1,climb,1059,0,0,0
raw_pca,primary,official_test,14,24,1,cruise,390,0,0,0
raw_pca,primary,official_test,14,24,1,descent,1192,0,0,0
raw_pca,primary,official_test,14,25,1,overall,2551,9,1,3
raw_pca,primary,official_test,14,25,1,climb,79,0,0,0
raw_pca,primary,official_test,14,25,1,cruise,2364,0,0,0
raw_pca,primary,official_test,14,25,1,descent,108,9,1,3
raw_pca,primary,official_test,14,26,1,overall,2034,11,1,4
raw_pca,primary,official_test,14,26,1,climb,135,1,1,1
raw_pca,primary,official_test,14,26,1,cruise,84,0,0,0
raw_pca,primary,official_test,14,26,1,descent,1815,10,1,3
raw_pca,primary,official_test,14,27,1,overall,1887,207,1,21
raw_pca,primary,official_test,14,27,1,climb,227,0,0,0
raw_pca,primary,official_test,14,27,1,cruise,1396,201,1,15
raw_pca,primary,official_test,14,27,1,descent,264,6,1,6
raw_pca,primary,official_test,14,28,1,overall,2629,4,1,3
raw_pca,primary,official_test,14,28,1,climb,490,0,0,0
raw_pca,primary,official_test,14,28,1,cruise,1339,0,0,0
raw_pca,primary,official_test,14,28,1,descent,800,4,1,3
raw_pca,primary,official_test,14,29,1,overall,1887,195,1,18
raw_pca,primary,official_test,14,29,1,climb,227,0,0,0
raw_pca,primary,official_test,14,29,1,cruise,1396,194,1,17
raw_pca,primary,official_test,14,29,1,descent,264,1,1,1
raw_pca,primary,official_test,14,30,1,overall,1528,105,1,35
raw_pca,primary,official_test,14,30,1,climb,435,0,0,0
raw_pca,primary,official_test,14,30,1,cruise,592,0,0,0
raw_pca,primary,official_test,14,30,1,descent,501,105,1,35
raw_pca,primary,official_test,14,31,1,overall,2629,9,1,3
raw_pca,primary,official_test,14,31,1,climb,490,0,0,0
raw_pca,primary,official_test,14,31,1,cruise,1339,0,0,0
raw_pca,primary,official_test,14,31,1,descent,800,9,1,3
raw_pca,primary,official_test,14,32,1,overall,1006,0,0,0
raw_pca,primary,official_test,14,32,1,climb,262,0,0,0
raw_pca,primary,official_test,14,32,1,cruise,356,0,0,0
raw_pca,primary,official_test,14,32,1,descent,388,0,0,0
raw_pca,primary,official_test,14,33,1,overall,1528,127,1,34
raw_pca,primary,official_test,14,33,1,climb,435,0,0,0
raw_pca,primary,official_test,14,33,1,cruise,592,0,0,0
raw_pca,primary,official_test,14,33,1,descent,501,127,1,34
raw_pca,primary,official_test,14,34,1,overall,1944,0,0,0
raw_pca,primary,official_test,14,34,1,climb,142,0,0,0
raw_pca,primary,official_test,14,34,1,cruise,1554,0,0,0
raw_pca,primary,official_test,14,34,1,descent,248,0,0,0
raw_pca,primary,official_test,14,35,1,overall,1706,3,1,3
raw_pca,primary,official_test,14,35,1,climb,38,0,0,0
raw_pca,primary,official_test,14,35,1,cruise,47,0,0,0
raw_pca,primary,official_test,14,35,1,descent,1621,3,1,3
raw_pca,primary,official_test,15,1,2,overall,2669,3,1,2
raw_pca,primary,official_test,15,1,2,climb,625,0,0,0
raw_pca,primary,official_test,15,1,2,cruise,752,0,0,0
raw_pca,primary,official_test,15,1,2,descent,1292,3,1,2
raw_pca,primary,official_test,15,2,2,overall,7711,0,0,0
raw_pca,primary,official_test,15,2,2,climb,2028,0,0,0
raw_pca,primary,official_test,15,2,2,cruise,3298,0,0,0
raw_pca,primary,official_test,15,2,2,descent,2385,0,0,0
raw_pca,primary,official_test,15,3,2,overall,5503,144,1,26
raw_pca,primary,official_test,15,3,2,climb,3519,0,0,0
raw_pca,primary,official_test,15,3,2,cruise,722,2,1,2
raw_pca,primary,official_test,15,3,2,descent,1262,142,1,24
raw_pca,primary,official_test,15,4,2,overall,6372,2,1,1
raw_pca,primary,official_test,15,4,2,climb,2754,0,0,0
raw_pca,primary,official_test,15,4,2,cruise,2405,0,0,0
raw_pca,primary,official_test,15,4,2,descent,1213,2,1,1
raw_pca,primary,official_test,15,5,2,overall,6075,0,0,0
raw_pca,primary,official_test,15,5,2,climb,1642,0,0,0
raw_pca,primary,official_test,15,5,2,cruise,2509,0,0,0
raw_pca,primary,official_test,15,5,2,descent,1924,0,0,0
raw_pca,primary,official_test,15,6,2,overall,9157,15,1,13
raw_pca,primary,official_test,15,6,2,climb,3584,0,0,0
raw_pca,primary,official_test,15,6,2,cruise,2702,7,1,7
raw_pca,primary,official_test,15,6,2,descent,2871,8,1,6
raw_pca,primary,official_test,15,7,2,overall,5892,101,1,16
raw_pca,primary,official_test,15,7,2,climb,2990,1,1,1
raw_pca,primary,official_test,15,7,2,cruise,2120,0,0,0
raw_pca,primary,official_test,15,7,2,descent,782,100,1,15
raw_pca,primary,official_test,15,8,2,overall,4015,1,1,1
raw_pca,primary,official_test,15,8,2,climb,748,0,0,0
raw_pca,primary,official_test,15,8,2,cruise,1371,0,0,0
raw_pca,primary,official_test,15,8,2,descent,1896,1,1,1
raw_pca,primary,official_test,15,9,2,overall,8714,40,1,38
raw_pca,primary,official_test,15,9,2,climb,2650,0,0,0
raw_pca,primary,official_test,15,9,2,cruise,4542,22,1,22
raw_pca,primary,official_test,15,9,2,descent,1522,18,1,16
raw_pca,primary,official_test,15,10,2,overall,5218,0,0,0
raw_pca,primary,official_test,15,10,2,climb,2439,0,0,0
raw_pca,primary,official_test,15,10,2,cruise,1376,0,0,0
raw_pca,primary,official_test,15,10,2,descent,1403,0,0,0
raw_pca,primary,official_test,15,11,2,overall,6001,3,1,2
raw_pca,primary,official_test,15,11,2,climb,2203,0,0,0
raw_pca,primary,official_test,15,11,2,cruise,2046,0,0,0
raw_pca,primary,official_test,15,11,2,descent,1752,3,1,2
raw_pca,primary,official_test,15,12,2,overall,8363,1,1,1
raw_pca,primary,official_test,15,12,2,climb,1990,0,0,0
raw_pca,primary,official_test,15,12,2,cruise,3014,0,0,0
raw_pca,primary,official_test,15,12,2,descent,3359,1,1,1
raw_pca,primary,official_test,15,13,2,overall,5761,4,1,3
raw_pca,primary,official_test,15,13,2,climb,1671,0,0,0
raw_pca,primary,official_test,15,13,2,cruise,2573,0,0,0
raw_pca,primary,official_test,15,13,2,descent,1517,4,1,3
raw_pca,primary,official_test,15,14,2,overall,6942,0,0,0
raw_pca,primary,official_test,15,14,2,climb,2058,0,0,0
raw_pca,primary,official_test,15,14,2,cruise,3278,0,0,0
raw_pca,primary,official_test,15,14,2,descent,1606,0,0,0
raw_pca,primary,official_test,15,15,2,overall,8154,11,1,11
raw_pca,primary,official_test,15,15,2,climb,2033,0,0,0
raw_pca,primary,official_test,15,15,2,cruise,2970,11,1,11
raw_pca,primary,official_test,15,15,2,descent,3151,0,0,0
