detector,phase_definition,unit,flight_class,calibration_phase,test_phase,threshold,n,false_alarms,false_alarm_rate
raw_pca,alt_rate,15,2,descent,descent,0.0009750256866539797,50393,119,0.002361439088762328
raw_pca,alt_rate,all,mixed,descent,climb,0.0009750256866539797,126343,11,8.706457817211876e-05
raw_pca,alt_rate,all,mixed,descent,cruise,0.0009750256866539797,157680,711,0.0045091324200913245
raw_pca,alt_rate,all,mixed,descent,descent,0.0009750256866539797,149090,1621,0.010872627272117514
condition_corrected_pca,primary,11,3,climb,climb,0.1062353730938463,53678,318,0.005924214762099929
condition_corrected_pca,primary,11,3,climb,cruise,0.1062353730938463,86535,2184,0.025238342867048014
condition_corrected_pca,primary,11,3,climb,descent,0.1062353730938463,73093,9217,0.12609962650322193
condition_corrected_pca,primary,14,1,climb,climb,0.1062353730938463,12241,420,0.03431092231026877
condition_corrected_pca,primary,14,1,climb,cruise,0.1062353730938463,33377,1787,0.053539862779758515
condition_corrected_pca,primary,14,1,climb,descent,0.1062353730938463,26650,4237,0.15898686679174484
condition_corrected_pca,primary,15,2,climb,climb,0.1062353730938463,48789,660,0.013527639426920002
condition_corrected_pca,primary,15,2,climb,cruise,0.1062353730938463,53466,1164,0.021770845023005275
condition_corrected_pca,primary,15,2,climb,descent,0.1062353730938463,45284,7294,0.16107234343255897
condition_corrected_pca,primary,all,mixed,climb,climb,0.1062353730938463,114708,1398,0.012187467308295848
condition_corrected_pca,primary,all,mixed,climb,cruise,0.1062353730938463,173378,5135,0.029617367832135564
condition_corrected_pca,primary,all,mixed,climb,descent,0.1062353730938463,145027,20748,0.14306301585222062
condition_corrected_pca,primary,11,3,cruise,climb,0.1760146504292432,53678,161,0.0029993665933902157
condition_corrected_pca,primary,11,3,cruise,cruise,0.1760146504292432,86535,940,0.010862656728491361
condition_corrected_pca,primary,11,3,cruise,descent,0.1760146504292432,73093,5093,0.06967835497243238
condition_corrected_pca,primary,14,1,cruise,climb,0.1760146504292432,12241,350,0.028592435258557307
condition_corrected_pca,primary,14,1,cruise,cruise,0.1760146504292432,33377,1040,0.031159181472271324
condition_corrected_pca,primary,14,1,cruise,descent,0.1760146504292432,26650,3067,0.1150844277673546
condition_corrected_pca,primary,15,2,cruise,climb,0.1760146504292432,48789,227,0.004652688105925516
condition_corrected_pca,primary,15,2,cruise,cruise,0.1760146504292432,53466,595,0.011128567687876408
condition_corrected_pca,primary,15,2,cruise,descent,0.1760146504292432,45284,4585,0.10124988958572564
condition_corrected_pca,primary,all,mixed,cruise,climb,0.1760146504292432,114708,738,0.006433727377340726
condition_corrected_pca,primary,all,mixed,cruise,cruise,0.1760146504292432,173378,2575,0.014851941999561651
condition_corrected_pca,primary,all,mixed,cruise,descent,0.1760146504292432,145027,12745,0.08788018782709427
condition_corrected_pca,primary,11,3,descent,climb,0.5118186755459593,53678,12,0.00022355527404150676
condition_corrected_pca,primary,11,3,descent,cruise,0.5118186755459593,86535,286,0.0033050210897324784
condition_corrected_pca,primary,11,3,descent,descent,0.5118186755459593,73093,807,0.01104072893437128
condition_corrected_pca,primary,14,1,descent,climb,0.5118186755459593,12241,37,0.003022628870190344
condition_corrected_pca,primary,14,1,descent,cruise,0.5118186755459593,33377,275,0.008239206639302514
condition_corrected_pca,primary,14,1,descent,descent,0.5118186755459593,26650,397,0.014896810506566605
condition_corrected_pca,primary,15,2,descent,climb,0.5118186755459593,48789,38,0.0007788640882166062
condition_corrected_pca,primary,15,2,descent,cruise,0.5118186755459593,53466,168,0.003142183817753339
condition_corrected_pca,primary,15,2,descent,descent,0.5118186755459593,45284,563,0.012432647292641992
condition_corrected_pca,primary,all,mixed,descent,climb,0.5118186755459593,114708,87,0.000758447536353175
condition_corrected_pca,primary,all,mixed,descent,cruise,0.5118186755459593,173378,729,0.004204685715604056
condition_corrected_pca,primary,all,mixed,descent,descent,0.5118186755459593,145027,1767,0.012183938163238569
condition_corrected_pca,alt_rate,11,3,climb,climb,0.10516379221531169,58507,341,0.0058283624181721845
condition_corrected_pca,alt_rate,11,3,climb,cruise,0.10516379221531169,83871,1702,0.02029306911805034
condition_corrected_pca,alt_rate,11,3,climb,descent,0.10516379221531169,70928,9912,0.13974734942476877
condition_corrected_pca,alt_rate,14,1,climb,climb,0.10516379221531169,13993,673,0.048095476309583364
condition_corrected_pca,alt_rate,14,1,climb,cruise,0.10516379221531169,30506,1433,0.0469743656985511
condition_corrected_pca,alt_rate,14,1,climb,descent,0.10516379221531169,27769,4427,0.15942237747128093
condition_corrected_pca,alt_rate,15,2,climb,climb,0.10516379221531169,53843,692,0.012852181342050035
condition_corrected_pca,alt_rate,15,2,climb,cruise,0.10516379221531169,43303,398,0.009191049118998684
condition_corrected_pca,alt_rate,15,2,climb,descent,0.10516379221531169,50393,8111,0.16095489452900205
condition_corrected_pca,alt_rate,all,mixed,climb,climb,0.10516379221531169,126343,1706,0.013502924578330418
condition_corrected_pca,alt_rate,all,mixed,climb,cruise,0.10516379221531169,157680,3533,0.022406139015728056
condition_corrected_pca,alt_rate,all,mixed,climb,descent,0.10516379221531169,149090,22450,0.15058018646455162
condition_corrected_pca,alt_rate,11,3,cruise,climb,0.1569438202796035,58507,210,0.003589314099167621
condition_corrected_pca,alt_rate,11,3,cruise,cruise,0.1569438202796035,83871,762,0.009085381121007262
condition_corrected_pca,alt_rate,11,3,cruise,descent,0.1569438202796035,70928,6042,0.08518497631400858
condition_corrected_pca,alt_rate,14,1,cruise,climb,0.1569438202796035,13993,576,0.041163438862288286
condition_corrected_pca,alt_rate,14,1,cruise,cruise,0.1569438202796035,30506,928,0.03042024519766603
condition_corrected_pca,alt_rate,14,1,cruise,descent,0.1569438202796035,27769,3459,0.12456336202239908
condition_corrected_pca,alt_rate,15,2,cruise,climb,0.1569438202796035,53843,297,0.005516037367902977
condition_corrected_pca,alt_rate,15,2,cruise,cruise,0.1569438202796035,43303,233,0.005380689559614807
condition_corrected_pca,alt_rate,15,2,cruise,descent,0.1569438202796035,50393,5546,0.11005496795189808
condition_corrected_pca,alt_rate,all,mixed,cruise,climb,0.1569438202796035,126343,1083,0.008571903469127692
condition_corrected_pca,alt_rate,all,mixed,cruise,cruise,0.1569438202796035,157680,1923,0.01219558599695586
condition_corrected_pca,alt_rate,all,mixed,cruise,descent,0.1569438202796035,149090,15047,0.1009256154000939
condition_corrected_pca,alt_rate,11,3,descent,climb,0.5796612505494639,58507,26,0.00044439126942075305
condition_corrected_pca,alt_rate,11,3,descent,cruise,0.5796612505494639,83871,109,0.0012996148847635059
condition_corrected_pca,alt_rate,11,3,descent,descent,0.5796612505494639,70928,723,0.010193435596661403
condition_corrected_pca,alt_rate,14,1,descent,climb,0.5796612505494639,13993,33,0.002358322018151933
condition_corrected_pca,alt_rate,14,1,descent,cruise,0.5796612505494639,30506,201,0.006588867763718613
condition_corrected_pca,alt_rate,14,1,descent,descent,0.5796612505494639,27769,298,0.010731391119593791
condition_corrected_pca,alt_rate,15,2,descent,climb,0.5796612505494639,53843,31,0.0005757480080976171
condition_corrected_pca,alt_rate,15,2,descent,cruise,0.5796612505494639,43303,82,0.0018936332355725932
condition_corrected_pca,alt_rate,15,2,descent,descent,0.5796612505494639,50393,402,0.007977298434306352
condition_corrected_pca,alt_rate,all,mixed,descent,climb,0.5796612505494639,126343,90,0.0007123465486809716
condition_corrected_pca,alt_rate,all,mixed,descent,cruise,0.5796612505494639,157680,392,0.0024860476915271436
condition_corrected_pca,alt_rate,all,mixed,descent,descent,0.5796612505494639,149090,1423,0.009544570393721913
