seed,stage,epoch,train_loss,validation_loss,best_epoch,epochs_run,max_epochs,patience,min_delta,fit_units,validation_units
0,engine_disjoint_epoch_selection,41,0.086241793826929,0.06228524170064115,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,42,0.08474529615452339,0.060040436822255155,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,43,0.08321919235280185,0.05801110410990345,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,44,0.08186230326807777,0.05637803141038975,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,45,0.08061297850751402,0.05453685546249144,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,46,0.07938882637081532,0.05322670386515973,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,47,0.07827960181113854,0.05174247370097388,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,48,0.07721088009635259,0.05078114687604689,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,49,0.07621984144813955,0.04931903591080441,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,50,0.0752909366258571,0.0477846057174423,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,51,0.07426616613399006,0.04690895267256321,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,52,0.07341284122541929,0.04597947159115737,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,53,0.07258612224609964,0.045026159986586205,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,54,0.07174728218431164,0.04412952477324678,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,55,0.0709224718209661,0.04321341424576193,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,56,0.07015895849266501,0.0422572960694668,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,57,0.06940908302392386,0.04129891538920032,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,58,0.06868267341597639,0.04074289148099993,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
