detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
pca,-1,primary,0.02,13,3,descent,104404,3887,0.03723037431516034,0.21338558577575714
pca,-1,primary,0.02,14,1,overall,159581,3691,0.02312931990650516,0.21338558577575714
pca,-1,primary,0.02,14,1,climb,33331,355,0.010650745552188654,0.21338558577575714
pca,-1,primary,0.02,14,1,cruise,52432,557,0.010623283490997865,0.21338558577575714
pca,-1,primary,0.02,14,1,descent,73818,2779,0.037646644449863174,0.21338558577575714
pca,-1,primary,0.02,15,2,overall,216930,5759,0.02654773429216798,0.21338558577575714
pca,-1,primary,0.02,15,2,climb,64502,1104,0.017115748348888408,0.21338558577575714
pca,-1,primary,0.02,15,2,cruise,61379,686,0.011176461004578113,0.21338558577575714
pca,-1,primary,0.02,15,2,descent,91049,3969,0.04359191204735911,0.21338558577575714
pca,-1,primary,0.02,all,mixed,overall,1294679,33496,0.025872050137524437,0.21338558577575714
pca,-1,primary,0.02,all,mixed,climb,326613,4297,0.013156243015434168,0.21338558577575714
pca,-1,primary,0.02,all,mixed,cruise,436402,8328,0.01908332225791816,0.21338558577575714
pca,-1,primary,0.02,all,mixed,descent,531664,20871,0.03925599626831984,0.21338558577575714
isolation_forest,0,primary,0.005,10,3,overall,249848,2200,0.008805353655022254,0.5631009089505477
isolation_forest,0,primary,0.005,10,3,climb,63828,141,0.0022090618537319046,0.5631009089505477
isolation_forest,0,primary,0.005,10,3,cruise,95181,650,0.006829094041878106,0.5631009089505477
isolation_forest,0,primary,0.005,10,3,descent,90839,1409,0.01551095894934995,0.5631009089505477
isolation_forest,0,primary,0.005,11,3,overall,261207,1951,0.007469171959403845,0.5631009089505477
isolation_forest,0,primary,0.005,11,3,climb,63479,135,0.0021266875659666975,0.5631009089505477
isolation_forest,0,primary,0.005,11,3,cruise,98352,509,0.005175288758744103,0.5631009089505477
isolation_forest,0,primary,0.005,11,3,descent,99376,1307,0.01315206890999839,0.5631009089505477
isolation_forest,0,primary,0.005,12,1,overall,155440,655,0.004213844570252187,0.5631009089505477
isolation_forest,0,primary,0.005,12,1,climb,35417,225,0.006352881384645791,0.5631009089505477
isolation_forest,0,primary,0.005,12,1,cruise,47845,120,0.0025080990699132616,0.5631009089505477
isolation_forest,0,primary,0.005,12,1,descent,72178,310,0.004294937515586467,0.5631009089505477
isolation_forest,0,primary,0.005,13,3,overall,251673,2127,0.008451442943819956,0.5631009089505477
isolation_forest,0,primary,0.005,13,3,climb,66056,218,0.003300230107787332,0.5631009089505477
isolation_forest,0,primary,0.005,13,3,cruise,81213,376,0.004629800647679558,0.5631009089505477
isolation_forest,0,primary,0.005,13,3,descent,104404,1533,0.014683345465690969,0.5631009089505477
isolation_forest,0,primary,0.005,14,1,overall,159581,668,0.004185961987955959,0.5631009089505477
