detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold
isolation_forest,2,primary,0.005,15,2,cruise,climb,64502,159,0.002465039843725776,0.5568626356573936
isolation_forest,2,primary,0.005,15,2,cruise,cruise,61379,378,0.00615845810456345,0.5568626356573936
isolation_forest,2,primary,0.005,15,2,cruise,descent,91049,720,0.007907829849861063,0.5568626356573936
isolation_forest,2,primary,0.005,all,mixed,cruise,climb,326613,967,0.0029606904807830676,0.5568626356573936
isolation_forest,2,primary,0.005,all,mixed,cruise,cruise,436402,2660,0.0060952974550987395,0.5568626356573936
isolation_forest,2,primary,0.005,all,mixed,cruise,descent,531664,6170,0.011605073881248307,0.5568626356573936
isolation_forest,2,primary,0.005,10,3,descent,climb,63828,66,0.0010340289528106787,0.6093295488348242
isolation_forest,2,primary,0.005,10,3,descent,cruise,95181,375,0.003939861947237369,0.6093295488348242
isolation_forest,2,primary,0.005,10,3,descent,descent,90839,785,0.00864166272195863,0.6093295488348242
isolation_forest,2,primary,0.005,11,3,descent,climb,63479,113,0.0017801162589202728,0.6093295488348242
isolation_forest,2,primary,0.005,11,3,descent,cruise,98352,284,0.0028875874410281437,0.6093295488348242
isolation_forest,2,primary,0.005,11,3,descent,descent,99376,850,0.008553373047818386,0.6093295488348242
isolation_forest,2,primary,0.005,12,1,descent,climb,35417,118,0.0033317333483920152,0.6093295488348242
isolation_forest,2,primary,0.005,12,1,descent,cruise,47845,60,0.0012540495349566308,0.6093295488348242
isolation_forest,2,primary,0.005,12,1,descent,descent,72178,100,0.0013854637147053118,0.6093295488348242
isolation_forest,2,primary,0.005,13,3,descent,climb,66056,148,0.002240523192442776,0.6093295488348242
isolation_forest,2,primary,0.005,13,3,descent,cruise,81213,231,0.0028443722064201544,0.6093295488348242
isolation_forest,2,primary,0.005,13,3,descent,descent,104404,1136,0.010880809164399832,0.6093295488348242
isolation_forest,2,primary,0.005,14,1,descent,climb,33331,24,0.000720050403528247,0.6093295488348242
isolation_forest,2,primary,0.005,14,1,descent,cruise,52432,210,0.0040051876716509,0.6093295488348242
isolation_forest,2,primary,0.005,14,1,descent,descent,73818,95,0.0012869489826329622,0.6093295488348242
isolation_forest,2,primary,0.005,15,2,descent,climb,64502,113,0.0017518836625220924,0.6093295488348242
isolation_forest,2,primary,0.005,15,2,descent,cruise,61379,239,0.0038938399126737158,0.6093295488348242
isolation_forest,2,primary,0.005,15,2,descent,descent,91049,382,0.004195543059231842,0.6093295488348242
isolation_forest,2,primary,0.005,all,mixed,descent,climb,326613,582,0.0017819253979480302,0.6093295488348242
isolation_forest,2,primary,0.005,all,mixed,descent,cruise,436402,1399,0.0032057598269485473,0.6093295488348242
isolation_forest,2,primary,0.005,all,mixed,descent,descent,531664,3348,0.006297210268139276,0.6093295488348242
isolation_forest,2,primary,0.01,10,3,climb,climb,63828,2273,0.03561133045058595,0.45553978092843306
isolation_forest,2,primary,0.01,10,3,climb,cruise,95181,3923,0.041216209117365864,0.45553978092843306
isolation_forest,2,primary,0.01,10,3,climb,descent,90839,11289,0.12427481588304583,0.45553978092843306
isolation_forest,2,primary,0.01,11,3,climb,climb,63479,348,0.005482127947825265,0.45553978092843306
isolation_forest,2,primary,0.01,11,3,climb,cruise,98352,3798,0.038616398243045386,0.45553978092843306
isolation_forest,2,primary,0.01,11,3,climb,descent,99376,9295,0.0935336499758493,0.45553978092843306
isolation_forest,2,primary,0.01,12,1,climb,climb,35417,693,0.01956687466470904,0.45553978092843306
isolation_forest,2,primary,0.01,12,1,climb,cruise,47845,1406,0.02938656076915038,0.45553978092843306
isolation_forest,2,primary,0.01,12,1,climb,descent,72178,7333,0.10159605419934052,0.45553978092843306
isolation_forest,2,primary,0.01,13,3,climb,climb,66056,1195,0.018090710911953495,0.45553978092843306
isolation_forest,2,primary,0.01,13,3,climb,cruise,81213,3533,0.043502887468755004,0.45553978092843306
isolation_forest,2,primary,0.01,13,3,climb,descent,104404,8994,0.08614612466955289,0.45553978092843306
isolation_forest,2,primary,0.01,14,1,climb,climb,33331,297,0.008910623743662057,0.45553978092843306
isolation_forest,2,primary,0.01,14,1,climb,cruise,52432,1500,0.028608483368935,0.45553978092843306
isolation_forest,2,primary,0.01,14,1,climb,descent,73818,7437,0.10074778509306673,0.45553978092843306
isolation_forest,2,primary,0.01,15,2,climb,climb,64502,892,0.013829028557254038,0.45553978092843306
isolation_forest,2,primary,0.01,15,2,climb,cruise,61379,1837,0.02992880301080174,0.45553978092843306
isolation_forest,2,primary,0.01,15,2,climb,descent,91049,6292,0.06910564641017473,0.45553978092843306
isolation_forest,2,primary,0.01,all,mixed,climb,climb,326613,5698,0.01744572322595855,0.45553978092843306
isolation_forest,2,primary,0.01,all,mixed,climb,cruise,436402,15997,0.03665656894331373,0.45553978092843306
isolation_forest,2,primary,0.01,all,mixed,climb,descent,531664,50640,0.09524812663637185,0.45553978092843306
