detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
pca,-1,primary,0.005,11,5,3,descent,6286,172,1,41
pca,-1,primary,0.005,11,6,3,overall,15073,142,1,63
pca,-1,primary,0.005,11,6,3,climb,2322,0,0,0
pca,-1,primary,0.005,11,6,3,cruise,6528,49,1,27
pca,-1,primary,0.005,11,6,3,descent,6223,93,1,36
pca,-1,primary,0.005,11,7,3,overall,13033,86,1,42
pca,-1,primary,0.005,11,7,3,climb,3144,0,0,0
pca,-1,primary,0.005,11,7,3,cruise,4668,36,1,13
pca,-1,primary,0.005,11,7,3,descent,5221,50,1,29
pca,-1,primary,0.005,11,8,3,overall,11068,46,1,29
pca,-1,primary,0.005,11,8,3,climb,4841,0,0,0
pca,-1,primary,0.005,11,8,3,cruise,3268,20,1,7
pca,-1,primary,0.005,11,8,3,descent,2959,26,1,22
pca,-1,primary,0.005,11,9,3,overall,11966,171,1,110
pca,-1,primary,0.005,11,9,3,climb,2678,7,1,6
pca,-1,primary,0.005,11,9,3,cruise,4297,4,1,2
pca,-1,primary,0.005,11,9,3,descent,4991,160,1,102
pca,-1,primary,0.005,11,10,3,overall,15998,21,1,16
pca,-1,primary,0.005,11,10,3,climb,4307,0,0,0
pca,-1,primary,0.005,11,10,3,cruise,6461,4,1,3
pca,-1,primary,0.005,11,10,3,descent,5230,17,1,13
pca,-1,primary,0.005,11,11,3,overall,15776,175,1,39
pca,-1,primary,0.005,11,11,3,climb,2819,0,0,0
pca,-1,primary,0.005,11,11,3,cruise,6671,33,1,8
pca,-1,primary,0.005,11,11,3,descent,6286,142,1,31
pca,-1,primary,0.005,11,12,3,overall,16285,193,1,128
pca,-1,primary,0.005,11,12,3,climb,4164,35,1,26
pca,-1,primary,0.005,11,12,3,cruise,7012,92,1,67
pca,-1,primary,0.005,11,12,3,descent,5109,66,1,35
pca,-1,primary,0.005,11,13,3,overall,13074,40,1,26
pca,-1,primary,0.005,11,13,3,climb,3229,0,0,0
pca,-1,primary,0.005,11,13,3,cruise,4939,17,1,8
pca,-1,primary,0.005,11,13,3,descent,4906,23,1,18
pca,-1,primary,0.005,11,14,3,overall,14472,151,1,40
pca,-1,primary,0.005,11,14,3,climb,3925,1,1,1
pca,-1,primary,0.005,11,14,3,cruise,4355,6,1,5
pca,-1,primary,0.005,11,14,3,descent,6192,144,1,34
pca,-1,primary,0.005,11,15,3,overall,11923,38,1,32
pca,-1,primary,0.005,11,15,3,climb,2575,4,1,4
pca,-1,primary,0.005,11,15,3,cruise,2230,0,0,0
pca,-1,primary,0.005,11,15,3,descent,7118,34,1,28
pca,-1,primary,0.005,11,16,3,overall,14134,81,1,40
pca,-1,primary,0.005,11,16,3,climb,3933,0,0,0
pca,-1,primary,0.005,11,16,3,cruise,5471,15,1,10
pca,-1,primary,0.005,11,16,3,descent,4730,66,1,30
pca,-1,primary,0.005,11,17,3,overall,14134,82,1,34
pca,-1,primary,0.005,11,17,3,climb,3933,0,0,0
pca,-1,primary,0.005,11,17,3,cruise,5471,16,1,8
pca,-1,primary,0.005,11,17,3,descent,4730,66,1,26
pca,-1,primary,0.005,11,18,3,overall,15635,58,1,34
pca,-1,primary,0.005,11,18,3,climb,5393,0,0,0
pca,-1,primary,0.005,11,18,3,cruise,3514,11,1,8
pca,-1,primary,0.005,11,18,3,descent,6728,47,1,26
pca,-1,primary,0.005,12,1,1,overall,4181,11,1,9
pca,-1,primary,0.005,12,1,1,climb,760,0,0,0
pca,-1,primary,0.005,12,1,1,cruise,1877,6,1,4
pca,-1,primary,0.005,12,1,1,descent,1544,5,1,5
pca,-1,primary,0.005,12,2,1,overall,5130,41,1,32
pca,-1,primary,0.005,12,2,1,climb,779,0,0,0
pca,-1,primary,0.005,12,2,1,cruise,1624,13,1,11
pca,-1,primary,0.005,12,2,1,descent,2727,28,1,21
pca,-1,primary,0.005,12,3,1,overall,4008,8,1,5
pca,-1,primary,0.005,12,3,1,climb,625,1,1,1
pca,-1,primary,0.005,12,3,1,cruise,2279,7,1,4
pca,-1,primary,0.005,12,3,1,descent,1104,0,0,0
pca,-1,primary,0.005,12,4,1,overall,5069,11,1,11
pca,-1,primary,0.005,12,4,1,climb,1772,0,0,0
pca,-1,primary,0.005,12,4,1,cruise,686,0,0,0
pca,-1,primary,0.005,12,4,1,descent,2611,11,1,11
pca,-1,primary,0.005,12,5,1,overall,3336,27,1,22
pca,-1,primary,0.005,12,5,1,climb,1028,1,1,1
pca,-1,primary,0.005,12,5,1,cruise,771,0,0,0
pca,-1,primary,0.005,12,5,1,descent,1537,26,1,21
pca,-1,primary,0.005,12,6,1,overall,3121,1,1,1
pca,-1,primary,0.005,12,6,1,climb,875,0,0,0
pca,-1,primary,0.005,12,6,1,cruise,584,0,0,0
pca,-1,primary,0.005,12,6,1,descent,1662,1,1,1
pca,-1,primary,0.005,12,7,1,overall,3121,1,1,1
pca,-1,primary,0.005,12,7,1,climb,875,0,0,0
pca,-1,primary,0.005,12,7,1,cruise,584,0,0,0
pca,-1,primary,0.005,12,7,1,descent,1662,1,1,1
pca,-1,primary,0.005,12,8,1,overall,3796,8,1,8
pca,-1,primary,0.005,12,8,1,climb,1240,1,1,1
pca,-1,primary,0.005,12,8,1,cruise,927,3,1,3
pca,-1,primary,0.005,12,8,1,descent,1629,4,1,4
pca,-1,primary,0.005,12,9,1,overall,5130,40,1,32
pca,-1,primary,0.005,12,9,1,climb,779,0,0,0
pca,-1,primary,0.005,12,9,1,cruise,1624,13,1,11
pca,-1,primary,0.005,12,9,1,descent,2727,27,1,21
pca,-1,primary,0.005,12,10,1,overall,3336,28,1,22
pca,-1,primary,0.005,12,10,1,climb,1028,1,1,1
pca,-1,primary,0.005,12,10,1,cruise,771,0,0,0
pca,-1,primary,0.005,12,10,1,descent,1537,27,1,21
pca,-1,primary,0.005,12,11,1,overall,5378,32,1,23
pca,-1,primary,0.005,12,11,1,climb,650,1,1,1
pca,-1,primary,0.005,12,11,1,cruise,2235,8,1,5
pca,-1,primary,0.005,12,11,1,descent,2493,23,1,17
pca,-1,primary,0.005,12,12,1,overall,5677,6,1,5
pca,-1,primary,0.005,12,12,1,climb,1015,0,0,0
pca,-1,primary,0.005,12,12,1,cruise,647,0,0,0
pca,-1,primary,0.005,12,12,1,descent,4015,6,1,5
pca,-1,primary,0.005,12,13,1,overall,3796,7,1,7
pca,-1,primary,0.005,12,13,1,climb,1240,1,1,1
pca,-1,primary,0.005,12,13,1,cruise,927,2,1,2
pca,-1,primary,0.005,12,13,1,descent,1629,4,1,4
pca,-1,primary,0.005,12,14,1,overall,4958,13,1,13
pca,-1,primary,0.005,12,14,1,climb,1296,5,1,5
pca,-1,primary,0.005,12,14,1,cruise,1012,1,1,1
pca,-1,primary,0.005,12,14,1,descent,2650,7,1,7
pca,-1,primary,0.005,12,15,1,overall,3814,40,1,35
pca,-1,primary,0.005,12,15,1,climb,778,1,1,1
pca,-1,primary,0.005,12,15,1,cruise,1275,30,1,25
pca,-1,primary,0.005,12,15,1,descent,1761,9,1,9
pca,-1,primary,0.005,12,16,1,overall,4181,11,1,9
pca,-1,primary,0.005,12,16,1,climb,760,0,0,0
pca,-1,primary,0.005,12,16,1,cruise,1877,6,1,4
pca,-1,primary,0.005,12,16,1,descent,1544,5,1,5
pca,-1,primary,0.005,12,17,1,overall,3796,7,1,7
pca,-1,primary,0.005,12,17,1,climb,1240,1,1,1
pca,-1,primary,0.005,12,17,1,cruise,927,2,1,2
pca,-1,primary,0.005,12,17,1,descent,1629,4,1,4
pca,-1,primary,0.005,12,18,1,overall,5378,35,1,25
pca,-1,primary,0.005,12,18,1,climb,650,1,1,1
pca,-1,primary,0.005,12,18,1,cruise,2235,9,1,6
pca,-1,primary,0.005,12,18,1,descent,2493,25,1,18
pca,-1,primary,0.005,12,19,1,overall,4495,5,1,4
pca,-1,primary,0.005,12,19,1,climb,1017,1,1,1
pca,-1,primary,0.005,12,19,1,cruise,1571,0,0,0
pca,-1,primary,0.005,12,19,1,descent,1907,4,1,3
pca,-1,primary,0.005,12,20,1,overall,4660,7,1,5
pca,-1,primary,0.005,12,20,1,climb,868,0,0,0
pca,-1,primary,0.005,12,20,1,cruise,1700,1,1,1
pca,-1,primary,0.005,12,20,1,descent,2092,6,1,4
pca,-1,primary,0.005,12,21,1,overall,4462,14,1,8
pca,-1,primary,0.005,12,21,1,climb,1150,0,0,0
pca,-1,primary,0.005,12,21,1,cruise,1292,0,0,0
pca,-1,primary,0.005,12,21,1,descent,2020,14,1,8
pca,-1,primary,0.005,12,22,1,overall,4495,5,1,4
pca,-1,primary,0.005,12,22,1,climb,1017,1,1,1
pca,-1,primary,0.005,12,22,1,cruise,1571,0,0,0
pca,-1,primary,0.005,12,22,1,descent,1907,4,1,3
pca,-1,primary,0.005,12,23,1,overall,3121,1,1,1
pca,-1,primary,0.005,12,23,1,climb,875,0,0,0
pca,-1,primary,0.005,12,23,1,cruise,584,0,0,0
pca,-1,primary,0.005,12,23,1,descent,1662,1,1,1
pca,-1,primary,0.005,12,24,1,overall,4181,12,1,10
pca,-1,primary,0.005,12,24,1,climb,760,1,1,1
pca,-1,primary,0.005,12,24,1,cruise,1877,6,1,4
pca,-1,primary,0.005,12,24,1,descent,1544,5,1,5
pca,-1,primary,0.005,12,25,1,overall,4495,5,1,4
pca,-1,primary,0.005,12,25,1,climb,1017,1,1,1
pca,-1,primary,0.005,12,25,1,cruise,1571,0,0,0
pca,-1,primary,0.005,12,25,1,descent,1907,4,1,3
pca,-1,primary,0.005,12,26,1,overall,3336,27,1,22
pca,-1,primary,0.005,12,26,1,climb,1028,1,1,1
pca,-1,primary,0.005,12,26,1,cruise,771,0,0,0
pca,-1,primary,0.005,12,26,1,descent,1537,26,1,21
pca,-1,primary,0.005,12,27,1,overall,4498,12,1,8
pca,-1,primary,0.005,12,27,1,climb,710,4,1,2
pca,-1,primary,0.005,12,27,1,cruise,2649,6,1,4
pca,-1,primary,0.005,12,27,1,descent,1139,2,1,2
pca,-1,primary,0.005,12,28,1,overall,5130,42,1,33
pca,-1,primary,0.005,12,28,1,climb,779,0,0,0
pca,-1,primary,0.005,12,28,1,cruise,1624,15,1,12
pca,-1,primary,0.005,12,28,1,descent,2727,27,1,21
pca,-1,primary,0.005,12,29,1,overall,4958,10,1,10
pca,-1,primary,0.005,12,29,1,climb,1296,3,1,3
pca,-1,primary,0.005,12,29,1,cruise,1012,1,1,1
pca,-1,primary,0.005,12,29,1,descent,2650,6,1,6
pca,-1,primary,0.005,12,30,1,overall,3336,27,1,21
pca,-1,primary,0.005,12,30,1,climb,1028,1,1,1
pca,-1,primary,0.005,12,30,1,cruise,771,0,0,0
pca,-1,primary,0.005,12,30,1,descent,1537,26,1,20
pca,-1,primary,0.005,12,31,1,overall,5378,39,1,27
pca,-1,primary,0.005,12,31,1,climb,650,0,0,0
pca,-1,primary,0.005,12,31,1,cruise,2235,10,1,6
pca,-1,primary,0.005,12,31,1,descent,2493,29,1,21
pca,-1,primary,0.005,12,32,1,overall,4958,11,1,11
pca,-1,primary,0.005,12,32,1,climb,1296,4,1,4
pca,-1,primary,0.005,12,32,1,cruise,1012,1,1,1
pca,-1,primary,0.005,12,32,1,descent,2650,6,1,6
pca,-1,primary,0.005,12,33,1,overall,3796,8,1,8
pca,-1,primary,0.005,12,33,1,climb,1240,1,1,1
pca,-1,primary,0.005,12,33,1,cruise,927,3,1,3
pca,-1,primary,0.005,12,33,1,descent,1629,4,1,4
pca,-1,primary,0.005,12,34,1,overall,4181,13,1,11
pca,-1,primary,0.005,12,34,1,climb,760,1,1,1
pca,-1,primary,0.005,12,34,1,cruise,1877,6,1,4
pca,-1,primary,0.005,12,34,1,descent,1544,6,1,6
pca,-1,primary,0.005,12,35,1,overall,4958,10,1,10
pca,-1,primary,0.005,12,35,1,climb,1296,3,1,3
