detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight
pca,-1,primary,0.02,14,1,descent,35,1.0,32.885714285714286
pca,-1,primary,0.02,14,1,overall,35,1.0,44.8
pca,-1,primary,0.02,15,2,climb,24,0.6666666666666666,8.166666666666666
pca,-1,primary,0.02,15,2,cruise,24,0.6666666666666666,10.5
pca,-1,primary,0.02,15,2,descent,24,1.0,48.625
pca,-1,primary,0.02,15,2,overall,24,1.0,67.29166666666667
pca,-1,primary,0.02,all,mixed,climb,148,0.7567567567567568,6.202702702702703
pca,-1,primary,0.02,all,mixed,cruise,148,0.8581081081081081,15.466216216216216
pca,-1,primary,0.02,all,mixed,descent,148,1.0,49.16216216216216
pca,-1,primary,0.02,all,mixed,overall,148,1.0,70.76351351351352
isolation_forest,0,primary,0.005,10,3,climb,17,0.5294117647058824,2.9411764705882355
isolation_forest,0,primary,0.005,10,3,cruise,17,0.8823529411764706,9.705882352941176
isolation_forest,0,primary,0.005,10,3,descent,17,1.0,24.235294117647058
isolation_forest,0,primary,0.005,10,3,overall,17,1.0,36.88235294117647
isolation_forest,0,primary,0.005,11,3,climb,18,0.5555555555555556,1.1666666666666667
isolation_forest,0,primary,0.005,11,3,cruise,18,0.8888888888888888,10.666666666666666
isolation_forest,0,primary,0.005,11,3,descent,18,1.0,23.444444444444443
isolation_forest,0,primary,0.005,11,3,overall,18,1.0,35.27777777777778
isolation_forest,0,primary,0.005,12,1,climb,36,0.7222222222222222,0.9444444444444444
isolation_forest,0,primary,0.005,12,1,cruise,36,0.3611111111111111,1.5277777777777777
isolation_forest,0,primary,0.005,12,1,descent,36,0.9722222222222222,5.444444444444445
isolation_forest,0,primary,0.005,12,1,overall,36,1.0,7.916666666666667
isolation_forest,0,primary,0.005,13,3,climb,18,0.5555555555555556,5.111111111111111
isolation_forest,0,primary,0.005,13,3,cruise,18,0.7777777777777778,5.444444444444445
isolation_forest,0,primary,0.005,13,3,descent,18,1.0,21.555555555555557
isolation_forest,0,primary,0.005,13,3,overall,18,1.0,32.05555555555556
isolation_forest,0,primary,0.005,14,1,climb,35,0.6571428571428571,0.8857142857142857
isolation_forest,0,primary,0.005,14,1,cruise,35,0.5142857142857142,2.8285714285714287
isolation_forest,0,primary,0.005,14,1,descent,35,1.0,5.228571428571429
isolation_forest,0,primary,0.005,14,1,overall,35,1.0,8.942857142857143
isolation_forest,0,primary,0.005,15,2,climb,24,0.5,1.5416666666666667
isolation_forest,0,primary,0.005,15,2,cruise,24,0.5,4.958333333333333
isolation_forest,0,primary,0.005,15,2,descent,24,0.9583333333333334,11.416666666666666
isolation_forest,0,primary,0.005,15,2,overall,24,1.0,17.916666666666668
isolation_forest,0,primary,0.005,all,mixed,climb,148,0.6081081081081081,1.7905405405405406
isolation_forest,0,primary,0.005,all,mixed,cruise,148,0.5945945945945946,4.918918918918919
isolation_forest,0,primary,0.005,all,mixed,descent,148,0.9864864864864865,12.66891891891892
isolation_forest,0,primary,0.005,all,mixed,overall,148,1.0,19.37162162162162
isolation_forest,0,primary,0.01,10,3,climb,17,0.5882352941176471,5.117647058823529
isolation_forest,0,primary,0.01,10,3,cruise,17,0.9411764705882353,12.470588235294118
isolation_forest,0,primary,0.01,10,3,descent,17,1.0,40.411764705882355
isolation_forest,0,primary,0.01,10,3,overall,17,1.0,57.88235294117647
isolation_forest,0,primary,0.01,11,3,climb,18,0.7222222222222222,1.7777777777777777
isolation_forest,0,primary,0.01,11,3,cruise,18,0.9444444444444444,12.5
isolation_forest,0,primary,0.01,11,3,descent,18,1.0,35.55555555555556
isolation_forest,0,primary,0.01,11,3,overall,18,1.0,49.77777777777778
isolation_forest,0,primary,0.01,12,1,climb,36,0.8888888888888888,1.5277777777777777
isolation_forest,0,primary,0.01,12,1,cruise,36,0.5277777777777778,2.388888888888889
isolation_forest,0,primary,0.01,12,1,descent,36,0.9722222222222222,14.86111111111111
isolation_forest,0,primary,0.01,12,1,overall,36,1.0,18.77777777777778
isolation_forest,0,primary,0.01,13,3,climb,18,0.8333333333333334,7.722222222222222
isolation_forest,0,primary,0.01,13,3,cruise,18,0.7777777777777778,8.722222222222221
isolation_forest,0,primary,0.01,13,3,descent,18,1.0,34.22222222222222
isolation_forest,0,primary,0.01,13,3,overall,18,1.0,50.55555555555556
